fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
26,37,553.92,5.54,29,37.93,1.2,12.51,1350.79,1.4,59.0,1,157,11,18,3391.07,2837.15,2489
23,41,474.81,4.75,29,37.93,1.17,12.28,1327.99,1.25,59.0,1,156,11,18,3312.97,2838.16,2404
24,40,474.34,4.74,28,39.29,1.17,12.28,1322.33,1.24,61.2,5,157,11,17,3268.5,2794.16,2404
25,39,464.61,4.65,28,39.29,1.17,12.35,1327.79,1.22,61.2,4,157,11,17,3262.32,2797.71,2405
30,34,463.04,4.63,29,37.93,1.17,13.55,1459.23,1.19,59.1,1,158,11,18,3212.58,2749.54,2405
22,50,454.85,4.55,27,37.04,1.19,11.4,1212.32,1.25,62.7,7,158,10,17,2867.15,2412.3,2360
23,42,450.87,4.51,28,39.29,1.16,13.0,1402.03,1.19,61.1,4,157,11,17,3272.01,2821.14,2523
30,40,401.22,4.01,26,34.62,1.16,10.84,1156.36,1.13,65.9,1,159,9,17,2940.37,2539.16,2359
29,41,399.99,4.0,26,34.62,1.16,10.84,1156.36,1.14,65.8,1,158,9,17,2914.96,2514.97,2359
29,33,382.52,3.83,32,40.62,1.13,12.33,1332.31,1.04,53.6,1,154,13,19,3311.65,2929.12,2830
30,32,382.52,3.83,32,40.62,1.13,12.33,1332.31,1.04,53.6,1,154,13,19,3311.65,2929.12,2830
22,43,379.46,3.79,29,37.93,1.13,13.02,1404.56,1.02,58.9,1,157,11,18,3257.68,2878.23,2745
28,35,377.82,3.78,29,37.93,1.13,12.95,1401.47,1.0,59.1,1,158,11,18,3333.12,2955.31,2744
23,47,364.92,3.65,27,33.33,1.14,13.01,1385.42,1.15,63.0,1,158,9,18,2936.92,2572.0,2359
26,36,361.67,3.62,32,37.5,1.12,13.31,1437.99,0.99,53.5,1,154,12,20,3346.5,2984.83,2830
27,36,353.56,3.54,30,36.67,1.12,12.87,1390.1,0.98,57.2,1,158,11,19,3330.19,2976.63,2830
25,45,348.71,3.49,26,30.77,1.14,10.89,1156.38,1.16,65.5,11,158,8,18,2794.85,2446.14,2360
24,47,344.49,3.44,27,33.33,1.14,11.08,1172.51,1.0,62.9,7,158,9,18,2787.75,2443.26,2360
25,38,340.9,3.41,30,36.67,1.11,13.36,1439.1,0.96,57.0,1,156,11,19,3315.62,2974.71,2830
29,34,340.61,3.41,29,37.93,1.11,12.94,1397.24,0.93,59.2,1,158,11,18,3307.81,2967.2,2744
22,42,339.27,3.39,30,40.0,1.12,13.08,1414.02,0.98,57.0,1,154,12,18,3248.29,2909.03,2744
30,41,339.4,3.39,26,30.77,1.13,10.74,1143.88,1.08,65.8,1,158,8,18,2876.59,2537.19,2359
22,51,337.93,3.38,27,33.33,1.13,12.03,1278.1,1.05,62.8,6,158,9,18,2852.64,2514.71,2360
29,42,329.4,3.29,26,30.77,1.13,10.83,1153.07,1.05,65.8,1,158,8,18,2882.15,2552.75,2359
24,45,322.02,3.22,27,33.33,1.13,13.06,1382.25,1.06,63.1,2,157,9,18,2882.02,2560.01,2359
28,44,321.76,3.22,27,33.33,1.13,10.12,1070.63,1.01,63.3,1,159,9,18,2868.24,2546.47,2359
26,47,320.94,3.21,27,33.33,1.13,11.2,1187.12,1.0,63.1,6,159,9,18,2879.95,2559.01,2359
25,47,318.63,3.19,27,33.33,1.12,11.4,1206.35,1.0,62.9,6,158,9,18,2880.22,2561.59,2359
28,34,316.97,3.17,33,39.39,1.11,12.45,1345.49,0.89,52.0,1,154,13,20,3315.96,2998.99,2830
23,48,315.29,3.15,27,29.63,1.13,11.17,1184.59,1.06,62.9,7,158,8,19,2796.03,2480.74,2360
21,52,304.66,3.05,28,32.14,1.12,11.59,1231.02,0.96,60.4,1,158,9,19,2845.61,2540.96,2360
30,33,303.11,3.03,29,37.93,1.1,13.15,1420.04,0.85,59.2,1,158,11,18,3289.24,2986.13,2744
23,49,302.36,3.02,27,33.33,1.12,12.28,1303.72,0.96,62.9,6,158,9,18,2846.1,2543.74,2360
