trade_num,entry_time,exit_time,entry_price,exit_price,return_pct,pnl_dollars,equity_after,holding_bars,is_win
1,2025-12-30T15:00:00,2025-12-31T20:00:00,89069.7598,87609.4128,-1.64,-163.96,9836.04,29,False
2,2026-01-01T21:00:00,2026-01-07T07:00:00,88430.6966,92823.4025,4.97,488.6,10324.64,130,True
3,2026-01-11T14:00:00,2026-01-16T13:00:00,91181.8363,95391.6007,4.62,476.68,10801.32,119,True
4,2026-01-23T19:00:00,2026-01-23T20:00:00,90036.7797,89449.9778,-0.65,-70.4,10730.92,1,False
5,2026-01-27T05:00:00,2026-01-27T10:00:00,88509.3738,87733.8581,-0.88,-94.02,10636.9,5,False
6,2026-01-27T20:00:00,2026-01-29T06:00:00,89449.7977,88266.3584,-1.32,-140.73,10496.17,34,False
7,2026-02-07T02:00:00,2026-02-07T10:00:00,70403.5868,67946.2078,-3.49,-366.36,10129.81,8,False
8,2026-02-07T18:00:00,2026-02-09T14:00:00,69555.8185,69230.4368,-0.47,-47.39,10082.42,44,False
9,2026-02-09T18:00:00,2026-02-10T05:00:00,70460.9312,69405.9714,-1.5,-150.96,9931.47,11,False
10,2026-02-13T16:00:00,2026-02-15T23:00:00,68996.0628,68791.2805,-0.3,-29.48,9901.99,55,False
11,2026-02-20T06:00:00,2026-02-22T17:00:00,67888.1785,67344.0593,-0.8,-79.36,9822.62,59,False
12,2026-02-25T11:00:00,2026-02-27T13:00:00,65469.298,66230.7877,1.16,114.25,9936.87,50,True
13,2026-03-01T01:00:00,2026-03-01T22:00:00,67379.7636,65229.5488,-3.19,-317.1,9619.77,21,False
14,2026-03-02T01:00:00,2026-03-02T13:00:00,66571.9392,65400.746,-1.76,-169.24,9450.53,12,False
15,2026-03-02T14:00:00,2026-03-06T09:00:00,67217.3662,70523.2207,4.92,464.79,9915.32,91,True
16,2026-03-09T14:00:00,2026-03-14T11:00:00,69192.9909,70708.9691,2.19,217.24,10132.56,117,True
17,2026-03-15T03:00:00,2026-03-18T13:00:00,71405.9579,72090.2099,0.96,97.1,10229.66,82,True
18,2026-03-23T14:00:00,2026-03-26T09:00:00,71489.3279,69520.6726,-2.75,-281.7,9947.95,67,False
19,2026-03-30T06:00:00,2026-03-31T12:00:00,67345.5231,66613.268,-1.09,-108.17,9839.79,30,False
20,2026-03-31T17:00:00,2026-04-02T04:00:00,67567.266,66290.4718,-1.89,-185.94,9653.85,35,False
21,2026-04-04T13:00:00,2026-04-05T12:00:00,67233.7561,66743.5099,-0.73,-70.39,9583.46,23,False
22,2026-04-05T16:00:00,2026-04-12T05:00:00,67252.9476,71667.1739,6.56,629.02,10212.48,157,True
23,2026-04-13T19:00:00,2026-04-19T01:00:00,73366.8137,75576.5768,3.01,307.59,10520.07,126,True
24,2026-04-20T19:00:00,2026-04-24T22:00:00,76342.7382,77282.5127,1.23,129.5,10649.57,99,True
25,2026-04-26T08:00:00,2026-04-27T15:00:00,78079.4096,76747.0141,-1.71,-181.73,10467.84,31,False
26,2026-05-01T03:00:00,2026-05-07T13:00:00,77177.3586,80455.3778,4.25,444.61,10912.45,154,True
27,2026-05-09T15:00:00,2026-05-12T11:00:00,80576.2368,80736.3991,0.2,21.69,10934.14,68,True
28,2026-05-14T17:00:00,2026-05-15T14:00:00,81717.4811,79102.8798,-3.2,-349.84,10584.3,21,False
29,2026-05-20T10:00:00,2026-05-22T14:00:00,77563.9605,76728.1655,-1.08,-114.05,10470.25,52,False
30,2026-05-24T05:00:00,2026-05-26T09:00:00,76868.3233,76626.1867,-0.32,-32.98,10437.27,52,False
31,2026-05-26T10:00:00,2026-05-26T15:00:00,77476.458,76472.1891,-1.3,-135.29,10301.98,5,False
32,2026-05-30T19:00:00,2026-05-31T18:00:00,74061.06,73559.5278,-0.68,-69.76,10232.21,23,False
33,2026-06-07T10:00:00,2026-06-09T15:00:00,62407.9423,61095.1609,-2.1,-215.24,10016.97,53,False
34,2026-06-11T06:00:00,2026-06-17T08:00:00,62809.6632,64887.0644,3.31,331.31,10348.28,146,True
35,2026-06-20T14:00:00,2026-06-23T05:00:00,63988.2699,63361.96,-0.98,-101.29,10246.99,63,False
36,2026-06-27T14:00:00,2026-06-28T03:00:00,60647.8669,60160.9218,-0.8,-82.27,10164.72,13,False
37,2026-06-29T20:00:00,2026-06-30T04:00:00,60332.1776,59456.3148,-1.45,-147.56,10017.15,8,False
38,2026-07-01T18:00:00,2026-07-06T13:00:00,60207.2627,61731.1491,2.53,253.54,10270.69,115,True
39,2026-07-06T16:00:00,2026-07-08T05:00:00,63770.2392,62600.2973,-1.83,-188.43,10082.27,37,False
40,2026-07-09T17:00:00,2026-07-13T01:00:00,63180.6757,63373.9628,0.31,30.84,10113.11,80,True
41,2026-07-14T15:00:00,2026-07-16T20:00:00,64782.8364,64075.8014,-1.09,-110.37,10002.74,53,False
