fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
5,23,2798.75,27.99,47,29.79,1.08,65.89,24720.16,1.54,16.3,1,60,14,33,37939.82,35141.07,1004
5,22,1720.18,17.2,51,27.45,1.05,67.44,24277.9,1.33,15.2,1,60,14,37,37382.24,35662.06,1004
5,25,1300.76,13.01,48,29.17,1.04,69.8,26114.88,1.3,16.0,1,60,14,34,37862.68,36561.92,1003
5,24,1147.71,11.48,48,29.17,1.03,70.33,26425.11,1.28,15.9,1,60,14,34,37844.59,36696.88,1003
6,22,1084.24,10.84,46,30.43,1.03,70.22,26139.44,1.29,16.9,1,60,14,32,38114.51,37030.27,1003
6,21,913.2,9.13,46,30.43,1.03,69.96,25413.33,1.27,16.9,1,60,14,32,37361.95,36448.75,1003
7,20,455.16,4.55,46,30.43,1.01,70.92,25498.6,1.19,16.9,1,60,14,32,37500.17,37045.01,1003
5,26,59.03,0.59,47,29.79,1.0,72.21,26142.87,1.1,15.9,1,60,14,33,36985.2,36926.17,1003
6,20,-292.3,-2.92,52,26.92,0.99,69.07,21679.44,1.01,15.1,1,60,14,38,33681.12,33973.42,1004
7,21,-359.48,-3.59,46,28.26,0.99,72.54,25470.93,1.04,16.9,1,60,13,33,35229.71,35589.19,1003
8,20,-521.07,-5.21,46,28.26,0.99,73.71,26573.35,1.01,16.8,1,60,13,33,37511.83,38032.89,1003
6,23,-673.21,-6.73,47,27.66,0.98,72.03,24016.38,0.96,16.4,1,60,13,34,33666.52,34339.73,1003
6,24,-675.96,-6.76,47,27.66,0.98,74.89,27809.12,0.97,16.3,1,60,13,34,37190.33,37866.29,1003
9,20,-765.68,-7.66,44,27.27,0.98,74.39,26817.15,0.98,17.4,1,60,12,32,35436.77,36202.45,1003
5,29,-780.39,-7.8,45,26.67,0.98,72.5,24300.64,0.92,16.4,1,60,12,33,32801.12,33581.51,1003
5,21,-941.83,-9.42,54,25.93,0.97,70.96,22137.6,0.88,14.5,1,60,14,40,32746.68,33688.51,1004
7,22,-956.65,-9.57,47,27.66,0.98,75.44,27774.61,0.92,16.4,1,60,13,34,37544.6,38501.25,1003
9,22,-1058.22,-10.58,42,26.19,0.97,74.08,25554.61,0.89,18.1,1,60,11,31,33710.6,34768.82,1002
9,24,-1165.26,-11.65,43,25.58,0.97,73.33,24293.47,0.87,17.6,1,60,11,32,32536.65,33701.92,1001
5,32,-1300.44,-13.0,43,25.58,0.96,74.63,25597.74,0.81,17.1,1,61,11,32,32863.91,34164.35,1003
10,22,-1349.68,-13.5,42,23.81,0.96,74.17,24838.44,0.84,18.1,1,60,10,32,33220.38,34570.05,1001
5,31,-1415.59,-14.16,44,25.0,0.96,75.5,26459.37,0.78,16.7,1,60,11,33,33680.36,35095.95,1003
6,30,-1439.84,-14.4,42,26.19,0.96,74.51,25026.91,0.79,17.5,1,61,11,31,32241.88,33681.72,1003
10,21,-1444.65,-14.45,42,26.19,0.96,74.42,24890.14,0.81,18.3,1,60,11,31,32868.79,34313.44,1001
8,21,-1468.06,-14.68,46,26.09,0.96,74.83,25370.41,0.81,16.8,1,60,12,34,34469.57,35937.62,1003
11,20,-1480.6,-14.81,41,24.39,0.96,74.28,24606.54,0.82,18.6,1,60,10,31,33010.95,34491.55,1001
5,30,-1586.97,-15.87,45,24.44,0.95,75.27,25609.65,0.73,16.4,1,60,11,34,33196.06,34783.03,1003
5,27,-1625.57,-16.26,45,26.67,0.95,71.94,21466.15,0.71,16.5,1,59,12,33,28863.72,30489.29,1003
9,23,-1644.29,-16.44,44,25.0,0.95,74.04,23828.67,0.74,17.3,1,60,11,33,31692.38,33336.67,1001
12,20,-1678.79,-16.79,39,20.51,0.95,76.17,26596.17,0.78,19.3,1,60,8,31,32875.86,34554.64,1001
5,20,-1760.78,-17.61,58,24.14,0.94,70.04,19264.86,0.67,13.6,1,57,14,44,29244.47,31005.25,1004
8,26,-1797.45,-17.97,42,23.81,0.94,72.69,21827.8,0.72,18.1,1,61,10,32,29480.27,31277.73,1001
10,20,-1824.04,-18.24,42,26.19,0.95,75.34,24972.52,0.72,18.3,1,60,11,31,32578.15,34402.2,1002
6,29,-1832.45,-18.32,44,25.0,0.95,76.21,26165.52,0.69,16.8,1,60,11,33,33668.73,35501.18,1003
15,20,-1861.87,-18.62,32,25.0,0.94,70.11,21514.93,1.01,23.4,2,62,8,24,29056.71,30918.59,1000
6,28,-1928.04,-19.28,43,25.58,0.94,75.4,24741.63,0.68,17.1,1,60,11,32,32483.08,34411.12,1003
7,23,-1935.43,-19.35,47,25.53,0.94,73.81,22725.33,0.68,16.4,1,59,12,35,30730.27,32665.7,1003
11,21,-1973.27,-19.73,40,20.0,0.94,77.49,27634.33,0.7,18.8,1,60,8,32,33609.19,35582.46,1001
5,28,-1986.33,-19.86,47,25.53,0.94,73.15,21829.91,0.61,15.8,1,59,12,35,29203.78,31190.1,1003
7,24,-2058.42,-20.58,46,26.09,0.94,73.6,22136.74,0.6,16.6,1,59,12,34,30172.35,32230.77,1003
7,28,-2067.02,-20.67,41,21.95,0.93,73.42,21913.68,0.66,18.0,1,61,9,32,29202.34,31269.36,1002
5,33,-2082.34,-20.82,43,23.26,0.94,75.02,23774.67,0.59,17.0,1,61,10,33,30449.5,32531.84,1003
8,22,-2160.29,-21.6,47,25.53,0.93,73.12,21324.61,0.56,16.3,1,59,12,35,29107.49,31267.78,1003
9,21,-2186.15,-21.86,43,25.58,0.93,75.65,24279.06,0.59,17.8,1,59,11,32,31102.59,33288.75,1002
7,26,-2248.05,-22.48,43,25.58,0.93,74.87,23095.1,0.59,17.2,1,60,11,32,30436.16,32684.22,1002
11,22,-2267.57,-22.68,38,21.05,0.93,76.0,24486.68,0.53,19.8,1,61,8,30,29866.89,32134.46,1001
8,23,-2270.61,-22.71,45,24.44,0.93,75.58,23922.82,0.57,17.0,1,60,11,34,30992.6,33263.21,1002
7,27,-2296.32,-22.96,43,25.58,0.93,74.92,23018.51,0.58,17.1,1,60,11,32,30175.2,32471.52,1002
6,26,-2337.58,-23.38,45,26.67,0.93,74.57,22464.98,0.54,16.4,1,59,12,33,29701.91,32039.49,1003
6,25,-2412.25,-24.12,47,25.53,0.92,74.33,21969.24,0.51,16.3,1,59,12,35,29111.26,31523.52,1003
10,23,-2431.46,-24.31,41,19.51,0.93,76.43,24537.8,0.56,18.4,1,61,8,33,30232.44,32663.91,1001
8,30,-2455.84,-24.56,37,21.62,0.91,72.75,20145.06,0.48,19.5,1,63,8,29,25455.22,27911.06,1001
14,21,-2461.84,-24.62,33,24.24,0.92,70.32,20133.53,0.79,22.8,1,61,8,25,27145.53,29607.37,1000
9,28,-2477.67,-24.78,38,21.05,0.91,72.94,20274.72,0.49,19.6,1,62,8,30,26137.7,28615.36,1001
8,25,-2490.82,-24.91,44,25.0,0.92,74.95,22472.56,0.53,17.3,1,60,11,33,29668.97,32159.8,1002
8,24,-2572.68,-25.73,45,22.22,0.92,75.92,23422.08,0.49,16.9,1,60,10,35,30245.96,32818.64,1002
14,22,-2639.57,-26.4,33,21.21,0.91,70.75,20069.86,0.65,22.7,1,62,7,26,26470.92,29110.48,1000
6,31,-2756.43,-27.56,43,20.93,0.91,76.95,24176.44,0.42,17.1,1,61,9,34,29335.64,32092.07,1002
