fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
9,23,-658.5,-6.59,45,24.44,0.59,10.07,1025.15,-3.73,19.8,1,81,11,34,942.49,1600.99,1545
6,29,-686.26,-6.86,48,22.92,0.58,10.56,1086.66,-3.87,18.5,1,81,11,37,934.59,1620.85,1545
15,24,-695.13,-6.95,35,17.14,0.5,8.68,870.28,-4.88,25.4,1,83,6,29,693.64,1388.78,1911
11,25,-708.82,-7.09,41,21.95,0.56,9.94,1005.91,-4.03,21.7,1,82,9,32,896.7,1605.52,1911
9,20,-719.06,-7.19,50,24.0,0.58,10.1,1020.78,-3.65,18.2,1,81,12,38,992.93,1711.99,1545
9,21,-718.52,-7.19,48,22.92,0.57,10.8,1100.12,-3.74,18.9,1,81,11,37,969.86,1688.38,1545
15,20,-720.49,-7.2,43,20.93,0.55,10.34,1049.6,-3.98,20.9,1,82,9,34,897.08,1617.57,1911
11,26,-722.55,-7.23,41,21.95,0.53,10.01,1012.71,-4.26,21.7,1,82,9,32,827.61,1550.16,1911
14,25,-722.54,-7.23,35,17.14,0.49,8.91,893.61,-4.99,25.4,1,83,6,29,689.31,1411.85,1911
14,23,-725.7,-7.26,38,23.68,0.53,9.73,975.04,-4.52,23.4,1,82,9,29,802.72,1528.42,1911
15,21,-727.21,-7.27,40,22.5,0.52,10.43,1057.37,-4.75,22.3,1,82,9,31,784.79,1512.0,1911
6,30,-729.65,-7.3,48,22.92,0.56,10.09,1027.88,-4.08,18.4,1,81,11,37,915.64,1645.29,1545
9,24,-729.57,-7.3,44,20.45,0.55,10.62,1079.44,-4.21,20.2,1,81,9,35,884.08,1613.65,1545
11,27,-729.59,-7.3,40,22.5,0.51,9.73,980.01,-4.65,22.2,1,82,9,31,758.85,1488.44,1911
9,22,-731.41,-7.31,48,22.92,0.56,10.81,1100.29,-3.97,18.7,1,81,11,37,930.11,1661.53,1545
15,33,-730.8,-7.31,31,19.35,0.45,8.91,891.38,-6.3,28.5,1,102,6,25,593.52,1324.32,2025
6,28,-731.81,-7.32,49,22.45,0.56,10.96,1128.02,-4.04,18.1,1,81,11,38,936.58,1668.4,1545
15,23,-740.45,-7.4,36,19.44,0.49,9.09,911.24,-5.01,24.7,1,83,7,29,708.76,1449.21,1911
14,35,-742.54,-7.43,31,19.35,0.45,8.74,874.16,-6.39,28.5,1,102,6,25,597.1,1339.64,2025
5,30,-744.39,-7.44,52,21.15,0.56,10.14,1032.43,-4.02,17.0,1,81,11,41,937.68,1682.07,1545
8,25,-743.84,-7.44,46,23.91,0.56,10.25,1044.52,-4.12,19.3,1,81,11,35,931.94,1675.78,1545
11,23,-744.92,-7.45,42,21.43,0.54,10.36,1047.71,-4.34,21.2,1,82,9,33,860.01,1604.93,1545
13,22,-745.06,-7.45,43,20.93,0.54,10.48,1062.83,-4.13,20.8,1,82,9,34,886.43,1631.48,1911
5,20,-746.98,-7.47,62,20.97,0.6,10.95,1119.55,-3.33,15.1,1,80,13,49,1108.39,1855.37,1636
7,24,-746.72,-7.47,50,24.0,0.57,10.23,1041.83,-3.94,18.0,1,81,12,38,975.6,1722.32,1545
9,26,-746.81,-7.47,43,20.93,0.54,10.2,1035.35,-4.25,20.7,1,82,9,34,887.39,1634.2,1545
6,27,-748.85,-7.49,50,24.0,0.56,10.58,1081.49,-4.03,17.8,1,81,12,38,947.83,1696.68,1545
15,27,-748.72,-7.49,32,21.88,0.46,8.95,894.89,-5.83,27.7,3,102,7,25,650.68,1399.4,2025
5,21,-753.42,-7.53,61,21.31,0.59,11.03,1127.53,-3.35,15.2,1,80,13,48,1104.54,1857.97,1636
14,20,-752.7,-7.53,44,20.45,0.55,10.62,1077.52,-4.11,20.4,1,82,9,35,903.56,1656.26,1911
10,25,-755.75,-7.56,42,21.43,0.54,10.62,1076.26,-4.35,21.2,1,82,9,33,870.79,1626.54,1545
10,26,-757.06,-7.57,42,21.43,0.53,10.21,1031.6,-4.42,21.0,1,82,9,33,851.24,1608.3,1911
10,24,-758.5,-7.58,42,21.43,0.53,10.62,1075.59,-4.4,21.2,1,82,9,33,870.79,1629.29,1545
15,28,-759.09,-7.59,33,21.21,0.45,8.83,883.46,-5.89,26.8,1,102,7,26,629.2,1388.3,2025
13,35,-760.52,-7.61,32,18.75,0.43,9.03,902.8,-6.55,27.6,1,102,6,26,585.53,1346.06,2025
15,22,-763.87,-7.64,37,18.92,0.48,9.32,934.4,-5.1,24.2,1,83,7,30,708.12,1471.99,1911
10,21,-765.02,-7.65,47,21.28,0.55,10.93,1109.56,-4.15,19.0,1,81,10,37,932.66,1697.68,1545
14,22,-765.37,-7.65,42,21.43,0.51,10.41,1050.51,-4.85,21.2,1,82,9,33,782.62,1547.99,1911
8,26,-766.13,-7.66,45,24.44,0.54,10.04,1018.88,-4.39,19.7,1,81,11,34,893.65,1659.79,1545
7,28,-767.54,-7.68,47,23.4,0.54,10.28,1045.89,-4.29,18.8,1,81,11,36,901.86,1669.4,1545
