fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
8,34,-1098.71,-10.99,38,26.32,0.46,16.28,1650.05,-8.97,25.0,1,140,10,28,933.57,2032.28,1864
5,31,-1116.86,-11.17,49,22.45,0.5,16.57,1682.63,-7.72,19.4,1,140,11,38,1121.0,2237.86,1865
8,33,-1122.55,-11.23,39,25.64,0.46,16.71,1698.36,-8.93,24.4,1,140,10,29,958.35,2080.9,1864
6,35,-1140.78,-11.41,40,25.0,0.46,16.67,1689.6,-8.85,23.8,1,140,10,30,965.85,2106.63,1864
8,29,-1143.22,-11.43,40,25.0,0.48,16.98,1727.19,-8.28,23.9,1,140,10,30,1071.8,2215.03,1864
7,35,-1161.0,-11.61,39,25.64,0.45,16.86,1708.95,-9.04,24.5,2,140,10,29,949.68,2110.68,1864
15,35,-1186.98,-11.87,25,36.0,0.46,15.88,1593.59,-7.07,37.7,1,171,9,16,1006.41,2193.39,1864
5,35,-1197.39,-11.97,46,23.91,0.46,17.16,1738.85,-8.16,20.6,1,140,11,35,1031.9,2229.29,1869
15,34,-1201.89,-12.02,25,36.0,0.46,16.02,1607.87,-7.06,37.9,1,171,9,16,1023.45,2225.34,1864
7,33,-1206.21,-12.06,40,25.0,0.44,17.5,1778.04,-9.16,23.8,1,140,10,30,962.05,2168.26,1864
7,34,-1209.04,-12.09,40,25.0,0.44,17.56,1784.87,-9.19,23.8,1,140,10,30,951.03,2160.08,1864
8,32,-1208.95,-12.09,41,24.39,0.44,17.56,1784.79,-9.17,23.2,1,140,10,31,952.37,2161.32,1864
6,31,-1216.93,-12.17,44,25.0,0.46,17.63,1791.94,-8.18,21.5,1,140,11,33,1038.19,2255.12,1864
6,34,-1216.63,-12.17,41,26.83,0.44,17.61,1790.24,-9.17,23.0,1,140,11,30,938.15,2154.78,1864
7,30,-1220.58,-12.21,43,25.58,0.44,17.68,1797.19,-8.82,22.1,1,140,11,32,967.22,2187.8,1864
14,35,-1230.76,-12.31,26,34.62,0.45,16.72,1686.07,-7.06,36.3,2,171,9,17,1021.79,2252.55,1864
7,32,-1232.88,-12.33,42,23.81,0.45,17.75,1803.46,-8.69,22.7,1,140,10,32,1028.89,2261.77,1864
8,31,-1235.35,-12.35,41,24.39,0.45,17.8,1809.96,-8.77,23.2,1,140,10,31,1018.48,2253.83,1864
8,30,-1237.41,-12.37,41,24.39,0.45,17.79,1807.78,-8.73,23.3,1,140,10,31,1015.21,2252.61,1864
14,34,-1237.71,-12.38,27,37.04,0.45,16.9,1707.38,-7.14,35.0,2,139,10,17,1030.83,2268.54,1864
6,30,-1240.54,-12.41,45,24.44,0.45,17.82,1811.13,-8.31,21.1,1,140,11,34,1016.84,2257.38,1864
15,32,-1240.56,-12.41,28,35.71,0.46,17.15,1736.57,-7.02,33.9,1,139,10,18,1052.23,2292.79,1864
8,35,-1251.93,-12.52,41,24.39,0.42,17.64,1785.99,-9.61,23.2,1,140,10,31,911.11,2163.04,1869
6,33,-1301.47,-13.01,42,26.19,0.42,18.43,1874.31,-9.35,22.5,1,140,11,31,947.13,2248.61,1864
15,33,-1303.21,-13.03,28,35.71,0.43,17.41,1755.46,-7.33,33.8,1,139,10,18,983.58,2286.78,1864
5,34,-1312.27,-13.12,47,23.4,0.44,18.31,1856.77,-8.55,20.0,1,140,11,36,1018.96,2331.23,1869
9,35,-1313.37,-13.13,39,23.08,0.4,17.67,1776.95,-10.05,24.4,1,140,9,30,862.05,2175.42,1950
5,30,-1316.21,-13.16,51,21.57,0.45,18.45,1872.69,-8.41,18.6,1,140,11,40,1098.3,2414.51,1865
7,31,-1326.39,-13.26,43,25.58,0.42,18.7,1901.82,-9.33,22.1,1,140,11,32,948.18,2274.57,1864
6,27,-1329.73,-13.3,47,23.4,0.45,18.57,1885.58,-8.6,20.5,1,140,11,36,1083.08,2412.81,1864
10,21,-1338.27,-13.38,43,25.58,0.43,18.52,1877.43,-9.1,22.4,1,140,11,32,1015.67,2353.94,1864
7,29,-1352.85,-13.53,43,25.58,0.41,18.9,1921.53,-9.46,22.2,1,140,11,32,953.04,2305.89,1864
15,22,-1360.11,-13.6,34,29.41,0.42,18.65,1887.82,-7.57,28.2,1,140,10,24,993.49,2353.61,1864
12,35,-1361.21,-13.61,31,32.26,0.4,18.24,1846.64,-7.61,30.6,1,139,10,21,898.72,2259.93,1869
13,34,-1366.9,-13.67,30,33.33,0.4,18.3,1852.09,-7.74,31.7,1,139,10,20,899.33,2266.22,1864
14,23,-1368.31,-13.68,34,29.41,0.42,18.72,1895.63,-7.65,28.1,1,140,10,24,987.97,2356.28,1864
9,24,-1371.76,-13.72,44,25.0,0.41,18.86,1912.67,-9.61,21.8,1,140,11,33,937.95,2309.7,1864
8,28,-1373.79,-13.74,43,25.58,0.41,19.09,1940.99,-9.5,22.2,1,140,11,32,955.66,2329.45,1864
14,33,-1391.55,-13.92,28,35.71,0.39,18.58,1881.2,-8.1,33.9,3,139,10,18,889.31,2280.86,1864
8,24,-1398.93,-13.99,44,25.0,0.42,19.31,1962.13,-9.16,21.9,1,140,11,33,1019.43,2418.35,1864
6,28,-1399.67,-14.0,48,22.92,0.44,19.23,1952.26,-8.33,19.9,1,140,11,37,1096.77,2496.44,1864
10,29,-1401.65,-14.02,36,27.78,0.4,19.04,1927.42,-7.64,26.5,1,140,10,26,921.81,2323.45,1864
6,29,-1403.18,-14.03,48,20.83,0.42,19.35,1966.18,-8.8,19.8,1,140,10,38,1009.98,2413.16,1864
14,24,-1405.26,-14.05,33,27.27,0.39,18.92,1912.58,-8.17,29.2,2,140,9,24,896.52,2301.77,1898
5,32,-1406.55,-14.07,50,20.0,0.41,19.38,1969.4,-9.43,18.9,1,140,10,40,994.35,2400.91,1865
9,22,-1408.59,-14.09,44,25.0,0.41,19.18,1944.47,-9.41,21.9,1,140,11,33,989.91,2398.51,1864
10,28,-1415.31,-14.15,37,27.03,0.41,19.28,1954.64,-7.37,25.7,1,140,10,27,1003.44,2418.75,1864
11,27,-1418.16,-14.18,37,27.03,0.41,19.22,1947.2,-7.39,25.8,1,140,10,27,994.84,2413.0,1864
12,34,-1417.88,-14.18,34,29.41,0.4,18.58,1875.41,-7.48,27.8,1,139,10,24,928.49,2346.37,1949
13,35,-1419.17,-14.19,29,34.48,0.39,18.84,1907.65,-8.06,32.7,1,139,10,19,892.78,2311.95,1864
6,32,-1425.9,-14.26,45,24.44,0.4,19.6,1992.94,-9.75,21.0,1,140,11,34,946.39,2372.29,1864
6,26,-1429.27,-14.29,49,22.45,0.43,19.51,1980.47,-8.93,19.6,1,140,11,38,1071.28,2500.55,1864
