fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
14,35,-89.98,-0.9,28,32.14,0.98,22.95,2933.15,0.24,37.3,2,144,9,19,4953.39,5043.37,745
15,35,-91.06,-0.91,28,32.14,0.98,22.71,2911.98,0.23,37.2,1,143,9,19,4923.76,5014.82,746
7,32,-128.54,-1.29,40,30.0,0.98,24.63,3225.88,0.19,26.5,1,143,12,28,6240.48,6369.03,749
7,30,-171.17,-1.71,39,33.33,0.97,24.92,3261.54,0.11,27.2,2,149,13,26,6028.63,6199.8,749
12,35,-202.62,-2.03,29,31.03,0.96,25.16,3294.11,0.09,35.8,2,142,9,20,5130.11,5332.73,745
7,31,-242.78,-2.43,39,30.77,0.96,25.25,3295.25,0.08,27.3,2,143,12,27,6189.43,6432.22,749
6,34,-290.37,-2.9,41,29.27,0.96,25.77,3370.56,0.03,25.9,1,143,12,29,6224.3,6514.67,750
13,35,-350.31,-3.5,29,34.48,0.94,24.66,3158.95,-0.06,36.0,2,143,10,19,5153.51,5503.82,745
15,34,-361.77,-3.62,29,31.03,0.93,24.8,3178.02,-0.11,36.0,1,143,9,20,5012.7,5374.46,745
8,25,-364.99,-3.65,46,30.43,0.95,23.84,3016.11,-0.06,23.6,1,148,14,32,6395.84,6760.83,826
8,28,-394.18,-3.94,39,33.33,0.94,27.09,3569.77,-0.12,27.3,1,149,13,26,6125.04,6519.21,744
6,35,-410.44,-4.1,39,30.77,0.94,26.47,3451.49,-0.1,27.1,1,143,12,27,5944.62,6355.06,750
13,34,-432.32,-4.32,30,33.33,0.93,26.88,3516.38,-0.14,35.0,1,143,10,20,5424.48,5856.81,745
11,35,-444.9,-4.45,32,28.12,0.92,26.99,3532.32,-0.21,32.5,1,142,9,23,5123.82,5568.72,751
10,35,-471.55,-4.72,35,25.71,0.92,27.64,3639.74,-0.22,29.9,1,143,9,26,5169.11,5640.66,750
14,33,-477.12,-4.77,30,33.33,0.92,26.82,3490.64,-0.2,34.8,1,143,10,20,5223.01,5700.14,745
7,27,-480.07,-4.8,46,30.43,0.93,25.91,3301.62,-0.17,23.1,1,148,14,32,6315.66,6795.73,820
6,33,-484.64,-4.85,41,29.27,0.93,27.54,3617.06,-0.15,25.8,1,143,12,29,6211.75,6696.39,750
7,35,-485.41,-4.85,37,29.73,0.92,27.45,3599.74,-0.18,28.5,1,143,11,26,5779.53,6264.94,750
11,34,-491.77,-4.92,32,28.12,0.91,27.79,3660.12,-0.24,32.5,2,143,9,23,5247.71,5739.48,750
