fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
9,26,-766.89,-7.67,38,26.32,0.58,7.97,796.96,-3.44,24.3,1,97,10,28,1055.68,1822.57,1890
14,32,-774.23,-7.74,28,28.57,0.5,9.47,947.09,-4.4,33.2,3,108,8,20,778.84,1553.07,1877
13,33,-789.08,-7.89,28,32.14,0.51,9.7,969.63,-4.44,33.4,4,108,9,19,808.14,1597.22,1878
14,33,-790.17,-7.9,28,28.57,0.49,9.81,981.47,-4.53,33.2,2,108,8,20,752.16,1542.33,1877
12,31,-808.58,-8.09,28,28.57,0.49,10.4,1039.74,-4.51,33.2,4,107,8,20,776.02,1584.6,1878
7,30,-824.59,-8.25,40,30.0,0.56,8.58,858.12,-3.56,23.2,1,97,12,28,1055.06,1879.65,1890
13,23,-830.14,-8.3,33,33.33,0.51,8.39,840.26,-4.15,28.0,1,97,11,22,868.43,1698.57,1546
13,31,-841.24,-8.41,28,32.14,0.49,10.33,1032.76,-4.63,33.2,4,108,9,19,802.71,1643.95,1878
12,35,-843.62,-8.44,29,24.14,0.48,9.8,980.07,-4.76,32.2,1,108,7,22,764.4,1608.01,1878
12,34,-849.94,-8.5,29,27.59,0.48,9.85,985.47,-4.71,32.2,1,108,8,21,798.83,1648.77,1878
13,34,-853.52,-8.54,29,27.59,0.45,9.38,937.91,-4.97,32.2,1,108,8,21,710.55,1564.07,1878
12,30,-857.16,-8.57,29,31.03,0.48,9.88,987.97,-4.68,32.2,1,107,9,20,791.09,1648.25,1878
13,30,-857.84,-8.58,28,28.57,0.47,10.45,1044.56,-4.77,33.3,4,108,8,20,775.3,1633.14,1878
11,27,-861.17,-8.61,34,29.41,0.51,8.61,861.17,-4.31,27.3,1,98,10,24,881.33,1742.5,1889
13,32,-860.68,-8.61,28,32.14,0.48,10.42,1042.28,-4.78,33.4,4,108,9,19,796.08,1656.77,1878
12,32,-863.97,-8.64,28,28.57,0.47,10.45,1044.56,-4.85,33.3,4,108,8,20,768.84,1632.81,1878
8,28,-877.75,-8.78,41,29.27,0.53,8.98,897.65,-3.81,22.5,1,97,12,29,994.06,1871.82,1909
12,33,-884.86,-8.85,28,28.57,0.47,10.36,1036.16,-4.96,33.3,4,108,8,20,772.6,1657.46,1878
11,30,-887.84,-8.88,32,28.12,0.47,9.27,927.25,-4.71,29.0,1,98,9,23,797.83,1685.67,1889
8,27,-893.21,-8.93,43,27.91,0.55,10.27,1026.83,-3.67,21.5,1,97,12,31,1081.17,1974.38,1911
15,30,-894.21,-8.94,28,32.14,0.47,11.05,1104.73,-4.66,33.4,3,108,9,19,794.39,1688.6,1877
11,34,-900.15,-9.0,30,26.67,0.47,10.74,1073.78,-4.86,31.1,1,107,8,22,783.36,1683.52,1889
13,29,-902.27,-9.02,28,28.57,0.46,10.43,1043.43,-4.97,33.2,5,107,8,20,779.89,1682.16,1878
11,29,-910.85,-9.11,33,27.27,0.46,9.26,926.29,-4.81,28.2,1,98,9,24,772.57,1683.42,1889
12,28,-911.62,-9.12,32,28.12,0.46,9.12,911.62,-4.81,29.0,1,98,9,23,787.26,1698.89,1878
11,32,-919.09,-9.19,30,30.0,0.46,10.3,1030.32,-4.96,31.1,1,107,9,21,787.06,1706.15,1889
12,27,-919.7,-9.2,32,28.12,0.46,9.2,919.7,-4.86,29.0,1,98,9,23,773.66,1693.36,1878
12,29,-922.38,-9.22,29,31.03,0.46,10.12,1011.8,-5.02,32.1,1,107,9,20,795.53,1717.91,1878
9,27,-924.87,-9.25,37,27.03,0.51,9.25,924.87,-4.29,24.8,1,97,10,27,962.31,1887.18,1890
11,35,-927.06,-9.27,30,26.67,0.45,10.32,1031.53,-5.16,31.1,1,109,8,22,751.44,1678.49,1889
13,35,-928.12,-9.28,30,26.67,0.44,10.63,1063.0,-5.26,31.0,1,108,8,22,727.5,1655.61,1878
13,22,-931.11,-9.31,35,28.57,0.49,9.31,931.11,-4.39,26.4,1,97,10,25,895.79,1826.89,1889
11,31,-932.27,-9.32,30,30.0,0.45,10.3,1030.32,-5.09,31.0,1,107,9,21,773.54,1705.81,1889
7,29,-937.35,-9.37,45,26.67,0.55,9.75,975.0,-3.72,20.6,1,97,12,33,1128.89,2066.24,1911
10,29,-937.52,-9.38,36,30.56,0.48,9.38,937.52,-4.59,25.8,1,98,11,25,879.18,1816.7,1889
12,25,-937.64,-9.38,34,29.41,0.46,9.38,937.64,-4.81,27.3,1,98,10,24,796.15,1733.79,1889
10,31,-945.49,-9.45,33,27.27,0.45,9.45,945.49,-4.99,28.1,1,98,9,24,772.07,1717.56,1889
14,20,-945.79,-9.46,36,27.78,0.49,9.46,945.79,-4.32,25.6,1,97,10,26,922.77,1868.55,1889
9,30,-949.51,-9.5,36,27.78,0.47,9.5,949.51,-4.84,25.6,1,98,10,26,834.83,1784.33,1889
12,24,-949.68,-9.5,36,30.56,0.48,9.5,949.68,-4.52,25.6,1,97,11,25,867.12,1816.8,1889
5,30,-951.52,-9.52,51,25.49,0.55,9.52,951.52,-3.61,18.2,1,96,13,38,1164.27,2115.79,1911
