fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
13,35,-1305.32,-13.05,25,24.0,0.75,26.11,2672.88,-1.2,34.3,2,183,6,19,3877.13,5182.45,914
14,34,-1527.24,-15.27,25,24.0,0.71,26.59,2669.08,-1.51,34.5,2,183,6,19,3657.87,5185.11,1074
14,33,-1549.97,-15.5,26,23.08,0.7,26.49,2649.21,-1.51,33.1,1,183,6,20,3652.12,5202.09,2052
15,35,-1612.61,-16.13,24,25.0,0.67,27.39,2781.29,-1.83,35.5,6,184,6,18,3309.77,4922.38,1856
15,32,-1639.22,-16.39,26,23.08,0.7,27.86,2809.03,-1.6,33.2,2,183,6,20,3793.38,5432.6,1856
12,35,-1643.42,-16.43,28,25.0,0.69,26.65,2665.47,-1.68,30.6,1,113,7,21,3607.41,5250.83,2052
13,34,-1675.62,-16.76,28,25.0,0.68,26.94,2693.73,-1.73,30.6,1,113,7,21,3569.45,5245.07,2052
7,20,-1692.02,-16.92,57,24.56,0.74,30.93,3284.91,-1.28,15.8,1,63,14,43,4807.42,6499.44,1279
15,20,-1753.8,-17.54,36,25.0,0.7,32.24,3436.55,-1.56,24.5,1,109,9,27,4043.72,5797.52,1362
15,33,-1777.8,-17.78,26,23.08,0.67,28.47,2847.41,-1.82,33.2,1,183,6,20,3573.93,5351.73,2052
14,22,-1831.56,-18.32,35,22.86,0.67,30.87,3243.84,-1.69,25.2,1,109,8,27,3792.17,5623.73,1362
14,35,-1833.98,-18.34,26,23.08,0.65,28.96,2896.27,-1.96,33.1,1,183,6,20,3407.38,5241.36,2052
12,34,-1840.56,-18.41,28,25.0,0.66,28.77,2877.04,-1.92,30.8,3,113,7,21,3530.93,5371.49,2050
13,33,-1849.61,-18.5,28,25.0,0.65,28.46,2846.45,-1.97,30.8,2,113,7,21,3511.49,5361.11,2052
15,34,-1855.27,-18.55,25,24.0,0.64,28.38,2850.86,-2.13,34.2,1,184,6,19,3299.17,5154.44,1856
15,22,-1856.53,-18.57,34,23.53,0.67,32.56,3449.2,-1.76,25.9,1,110,8,26,3806.3,5662.83,1362
11,35,-1861.38,-18.61,29,24.14,0.66,29.27,2930.8,-1.89,29.7,2,112,7,22,3627.25,5488.63,1938
12,25,-1864.04,-18.64,38,26.32,0.68,31.61,3282.85,-1.65,23.1,1,109,10,28,4027.81,5891.85,1362
15,31,-1864.01,-18.64,27,25.93,0.65,28.43,2843.02,-1.99,32.0,2,114,7,20,3512.63,5376.64,2052
14,31,-1916.99,-19.17,28,25.0,0.64,29.06,2905.59,-2.05,30.7,2,113,7,21,3413.6,5330.6,2052
14,32,-1936.27,-19.36,28,25.0,0.64,29.23,2922.51,-2.06,30.8,2,113,7,21,3511.99,5448.27,2052
15,30,-1953.42,-19.53,28,25.0,0.64,29.38,2937.56,-2.07,30.8,2,113,7,21,3504.03,5457.46,2052
13,23,-1960.02,-19.6,35,28.57,0.67,31.27,3204.35,-1.78,25.2,1,109,10,25,3912.54,5872.56,1362
6,22,-1987.25,-19.87,58,22.41,0.69,32.56,3377.01,-1.58,15.5,1,63,13,45,4514.85,6502.1,1280
14,20,-1998.8,-19.99,37,24.32,0.66,35.16,3794.16,-1.94,23.8,1,109,9,28,3890.91,5889.72,1466
14,23,-2037.23,-20.37,35,22.86,0.65,34.1,3631.61,-1.98,25.2,2,109,8,27,3748.51,5785.74,1362
12,24,-2048.69,-20.49,37,27.03,0.66,34.54,3674.56,-1.9,23.6,2,109,10,27,3944.74,5993.43,1362
14,21,-2053.5,-20.53,37,24.32,0.65,33.92,3572.71,-2.03,23.8,1,109,9,28,3744.51,5798.01,1466
11,26,-2073.53,-20.74,39,25.64,0.65,34.14,3586.16,-1.9,22.3,1,109,10,29,3877.75,5951.29,1362
10,29,-2079.29,-20.79,39,25.64,0.65,32.28,3296.18,-1.89,22.2,1,109,10,29,3904.13,5983.42,1362
8,35,-2097.67,-20.98,38,21.05,0.63,31.16,3122.61,-2.09,22.5,1,109,8,30,3562.21,5659.88,1362
13,22,-2141.72,-21.42,37,27.03,0.65,33.78,3512.25,-2.08,23.7,1,109,10,27,3904.99,6046.71,1466
15,23,-2146.61,-21.47,35,20.0,0.63,32.78,3372.64,-2.08,25.1,1,110,7,28,3723.99,5870.6,1362
11,25,-2169.78,-21.7,39,23.08,0.64,34.71,3647.11,-2.01,22.5,1,109,9,30,3804.71,5974.49,1362
7,22,-2210.11,-22.1,54,22.22,0.68,33.64,3445.11,-1.67,16.5,1,107,12,42,4676.31,6886.42,1280
7,21,-2218.83,-22.19,54,24.07,0.67,33.73,3461.41,-1.82,16.6,1,63,13,41,4518.93,6737.76,1280
12,23,-2229.38,-22.29,39,25.64,0.64,34.68,3606.73,-2.15,22.5,1,109,10,29,3880.36,6109.73,1466
15,21,-2236.43,-22.36,35,22.86,0.62,34.32,3608.16,-2.18,25.3,1,109,8,27,3696.58,5933.01,1362
9,31,-2236.64,-22.37,40,25.0,0.62,33.2,3367.13,-2.15,21.6,1,109,10,30,3710.29,5946.93,1362
9,34,-2237.29,-22.37,36,22.22,0.62,33.42,3389.7,-2.21,23.7,1,110,8,28,3724.69,5961.98,1938
14,30,-2279.33,-22.79,30,23.33,0.59,32.16,3216.0,-2.51,28.8,1,113,7,23,3288.55,5567.89,2050
6,23,-2284.68,-22.85,58,20.69,0.67,36.1,3795.44,-1.71,15.4,1,107,12,46,4562.16,6846.84,1280
13,32,-2300.45,-23.0,30,23.33,0.59,32.35,3234.55,-2.47,28.8,1,113,7,23,3342.57,5643.02,2050
8,20,-2313.28,-23.13,55,23.64,0.67,35.32,3686.27,-1.86,16.4,1,63,13,42,4753.44,7066.72,1279
9,35,-2322.63,-23.23,35,20.0,0.61,34.61,3510.11,-2.34,24.4,1,111,7,28,3624.03,5946.66,1938
12,32,-2327.85,-23.28,31,22.58,0.6,33.32,3336.81,-2.45,27.8,1,112,7,24,3491.93,5819.78,1938
13,31,-2328.98,-23.29,31,22.58,0.6,33.33,3337.8,-2.48,27.9,1,112,7,24,3448.55,5777.53,1938
5,26,-2339.46,-23.39,58,22.41,0.67,37.16,3926.04,-1.74,15.1,1,107,13,45,4732.81,7072.27,1281
6,20,-2344.61,-23.45,62,25.81,0.66,33.76,3376.48,-1.82,14.6,1,62,16,46,4652.75,6997.36,2072
11,34,-2362.33,-23.62,31,22.58,0.6,33.06,3310.4,-2.49,27.8,1,111,7,24,3494.05,5856.38,1938
8,21,-2371.58,-23.72,52,23.08,0.66,35.22,3653.93,-1.91,17.3,1,108,12,40,4588.07,6959.65,1280
10,28,-2374.34,-23.74,41,24.39,0.61,34.75,3544.73,-2.22,21.1,1,109,10,31,3781.36,6155.7,1362
