fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
8,34,-309.16,-3.09,31,32.26,0.87,13.74,1416.88,-2.8,30.7,5,133,10,21,2101.54,2410.7,1431
9,32,-360.99,-3.61,32,34.38,0.86,14.44,1493.91,-2.98,29.9,1,133,11,21,2164.86,2525.85,1431
9,33,-415.04,-4.15,31,32.26,0.85,16.19,1700.25,-2.88,31.0,1,133,10,21,2277.59,2692.64,1431
9,31,-465.04,-4.65,33,33.33,0.81,14.87,1528.78,-3.43,28.9,1,133,11,22,1996.12,2461.16,1446
7,33,-468.53,-4.69,33,33.33,0.81,14.39,1457.95,-3.51,28.8,2,133,11,22,1980.81,2449.34,1447
8,32,-488.02,-4.88,34,32.35,0.81,15.65,1612.19,-3.24,28.0,1,133,11,23,2070.15,2558.16,1446
7,34,-493.14,-4.93,33,33.33,0.8,14.28,1447.56,-3.67,28.8,2,133,11,22,1936.94,2430.08,1446
8,33,-521.5,-5.22,34,32.35,0.79,14.96,1530.35,-3.61,28.0,1,133,11,23,1952.16,2473.66,1446
8,31,-536.67,-5.37,36,30.56,0.8,15.95,1634.0,-3.32,26.4,1,133,11,25,2092.34,2629.01,1472
8,35,-538.08,-5.38,33,30.3,0.8,13.67,1375.95,-3.56,29.0,1,133,10,23,2088.84,2626.92,1431
10,30,-572.45,-5.72,32,34.38,0.79,16.35,1691.14,-3.47,29.9,1,133,11,21,2152.78,2725.23,1431
9,29,-590.44,-5.9,36,30.56,0.78,16.81,1730.27,-3.47,26.5,1,133,11,25,2097.23,2687.67,1446
11,26,-610.1,-6.1,35,34.29,0.77,16.15,1658.53,-3.53,27.1,1,133,12,23,2037.55,2647.65,832
10,31,-628.31,-6.28,32,34.38,0.77,17.09,1773.05,-3.68,30.0,1,134,11,21,2113.99,2742.29,1431
10,29,-636.9,-6.37,34,32.35,0.76,16.3,1665.43,-3.64,28.0,1,133,11,23,2053.16,2690.06,1472
7,35,-637.5,-6.38,35,34.29,0.77,15.21,1541.65,-3.45,27.1,1,133,12,23,2080.81,2718.31,1431
9,30,-644.5,-6.45,35,31.43,0.75,16.33,1667.93,-3.84,27.1,1,133,11,24,1972.98,2617.48,1472
10,28,-653.94,-6.54,34,32.35,0.75,15.87,1610.54,-3.85,27.9,1,133,11,23,1977.36,2631.3,1446
10,25,-669.14,-6.69,39,28.21,0.77,16.75,1699.62,-3.23,24.1,1,122,11,28,2221.85,2890.99,1447
10,26,-668.55,-6.69,39,28.21,0.76,16.41,1658.02,-3.26,24.2,1,122,11,28,2175.6,2844.15,1446
7,21,-691.09,-6.91,52,26.92,0.77,14.76,1493.0,-3.11,18.1,1,60,14,38,2367.62,3058.71,1244
11,25,-700.58,-7.01,38,28.95,0.75,16.56,1671.84,-3.43,24.8,2,122,11,27,2132.95,2833.52,1446
7,24,-710.83,-7.11,44,34.09,0.77,16.47,1672.69,-3.18,21.1,1,63,15,29,2392.82,3103.65,973
9,27,-717.36,-7.17,39,28.21,0.74,16.62,1674.87,-3.62,24.2,1,122,11,28,2079.11,2796.47,1447
9,26,-730.96,-7.31,39,28.21,0.74,16.62,1672.87,-3.67,24.1,1,122,11,28,2067.2,2798.16,1447
6,32,-735.08,-7.35,39,28.21,0.74,16.61,1661.27,-3.67,24.3,1,132,11,28,2082.53,2817.61,1992
10,27,-760.0,-7.6,38,28.95,0.73,16.74,1699.17,-3.86,25.0,1,133,11,27,2018.46,2778.47,1446
15,22,-768.38,-7.68,32,28.12,0.72,15.34,1534.48,-4.27,29.8,2,134,9,23,1943.59,2711.97,1990
7,32,-774.92,-7.75,37,29.73,0.7,15.78,1578.35,-4.43,25.6,1,133,11,26,1845.26,2620.18,1992
9,28,-779.56,-7.8,39,28.21,0.72,16.75,1701.63,-3.87,24.3,1,122,11,28,2023.03,2802.6,1447
11,23,-785.41,-7.85,39,28.21,0.74,17.61,1783.96,-3.49,24.1,1,122,11,28,2206.01,2991.42,1447
11,27,-789.59,-7.9,32,34.38,0.71,15.87,1586.69,-4.26,29.7,3,133,11,21,1904.55,2694.14,1991
6,31,-801.09,-8.01,41,26.83,0.73,17.18,1717.71,-3.69,23.0,1,117,11,30,2145.39,2946.47,1992
12,26,-805.74,-8.06,31,29.03,0.7,16.01,1601.45,-4.43,30.8,3,134,9,22,1919.53,2725.27,1991
7,23,-810.11,-8.1,49,30.61,0.75,17.38,1768.65,-3.26,19.0,1,63,15,34,2407.12,3217.23,1448
13,24,-809.95,-8.1,32,28.12,0.7,15.73,1572.6,-4.33,29.8,3,133,9,23,1934.97,2744.92,1991
8,29,-813.26,-8.13,39,28.21,0.71,16.97,1700.58,-4.04,24.2,1,122,11,28,1990.15,2803.41,1447
8,30,-818.48,-8.18,37,29.73,0.7,16.52,1658.86,-4.5,25.7,1,133,11,26,1885.13,2703.61,1447
7,22,-820.22,-8.2,52,28.85,0.75,15.34,1547.52,-3.29,17.9,1,62,15,37,2440.01,3260.23,1448
10,32,-820.31,-8.2,31,32.26,0.71,18.23,1878.57,-4.43,31.0,1,133,10,21,1990.13,2810.45,1431
14,23,-825.83,-8.26,32,28.12,0.7,15.87,1587.16,-4.44,29.8,2,134,9,23,1912.79,2738.61,1990
7,20,-829.94,-8.3,54,24.07,0.74,15.5,1557.5,-3.37,17.5,1,60,13,41,2394.43,3224.37,1244
8,20,-831.31,-8.31,53,26.42,0.75,15.03,1508.16,-3.33,17.7,1,62,14,39,2430.65,3261.96,1448
6,24,-832.09,-8.32,51,31.37,0.74,15.88,1599.91,-3.39,18.2,1,59,16,35,2384.55,3216.64,1431
8,23,-833.05,-8.33,44,29.55,0.73,17.43,1747.39,-3.53,21.0,1,63,13,31,2280.45,3113.5,973
7,30,-838.05,-8.38,39,28.21,0.71,17.54,1753.95,-3.97,24.2,2,122,11,28,2013.98,2852.03,1992
11,24,-840.14,-8.4,39,28.21,0.72,18.07,1830.05,-3.65,24.1,1,122,11,28,2181.24,3021.38,1447
7,31,-841.88,-8.42,38,28.95,0.69,16.34,1634.16,-4.56,24.9,1,133,11,27,1854.39,2696.26,1992
14,24,-841.59,-8.42,31,32.26,0.7,15.93,1592.52,-4.58,30.8,3,134,10,21,1921.32,2762.9,1990
7,29,-850.41,-8.5,41,26.83,0.71,17.3,1729.7,-3.9,23.0,1,117,11,30,2080.01,2930.41,1992
10,34,-853.49,-8.53,32,31.25,0.7,16.9,1701.16,-4.62,30.2,1,133,10,22,1967.46,2820.95,1431
13,25,-853.39,-8.53,31,32.26,0.7,16.45,1644.97,-4.46,30.8,3,134,10,21,1961.75,2815.14,1990
12,21,-880.87,-8.81,41,24.39,0.71,18.28,1855.24,-3.64,22.9,2,117,10,31,2176.53,3057.41,1447
7,28,-883.72,-8.84,43,25.58,0.7,17.56,1756.3,-3.88,21.9,1,117,11,32,2093.31,2977.04,1992
13,26,-883.55,-8.84,31,32.26,0.68,16.31,1631.04,-4.76,30.9,3,134,10,21,1868.79,2752.34,1990
9,21,-888.62,-8.89,47,25.53,0.73,18.2,1823.47,-3.45,19.7,1,63,12,35,2358.42,3247.04,1014
6,30,-892.37,-8.92,43,25.58,0.71,17.68,1767.63,-3.81,21.9,1,117,11,32,2164.5,3056.87,1992
6,28,-898.95,-8.99,46,30.43,0.71,17.49,1759.93,-3.77,20.3,1,64,14,32,2242.08,3141.02,1476
6,25,-904.28,-9.04,49,30.61,0.73,17.62,1777.87,-3.44,18.9,1,63,15,34,2410.18,3314.46,1476
10,33,-907.02,-9.07,32,31.25,0.68,18.1,1848.22,-4.7,30.1,1,133,10,22,1933.69,2840.7,1431
13,23,-913.5,-9.14,37,29.73,0.69,17.56,1756.48,-4.07,25.5,1,122,11,26,2010.23,2923.74,1991
6,27,-926.67,-9.27,47,31.91,0.72,17.39,1760.07,-3.64,19.8,1,64,15,32,2331.97,3258.64,1476
5,21,-935.11,-9.35,59,23.73,0.74,17.64,1826.15,-3.12,16.0,1,59,14,45,2602.86,3537.97,1244
15,21,-935.29,-9.35,35,28.57,0.68,16.88,1687.54,-4.46,27.2,1,122,10,25,1972.0,2907.28,1991
5,35,-938.08,-9.38,42,33.33,0.68,16.52,1651.6,-4.36,22.4,1,132,14,28,2022.28,2960.36,1992
6,22,-940.39,-9.4,56,25.0,0.72,17.27,1751.8,-3.51,16.6,1,60,14,42,2400.11,3340.5,1244
14,22,-949.26,-9.49,36,30.56,0.67,17.0,1700.35,-4.47,26.4,1,122,11,25,1924.1,2873.36,1991
