fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
15,35,-230.7,-2.31,34,20.59,0.79,5.88,607.23,-1.21,34.0,1,195,7,27,867.72,1098.42,1235
13,20,-269.66,-2.7,42,19.05,0.75,6.96,729.86,-1.12,25.5,1,101,8,34,811.47,1081.13,1243
14,35,-270.54,-2.71,35,20.0,0.76,5.78,596.27,-1.15,32.8,1,195,7,28,838.25,1108.79,1236
10,35,-279.85,-2.8,41,17.07,0.74,6.75,703.09,-1.31,27.0,1,107,7,34,780.41,1060.26,1242
9,35,-286.81,-2.87,40,17.5,0.72,6.62,687.91,-1.4,27.5,1,105,7,33,756.08,1042.89,1242
9,31,-307.39,-3.07,43,16.28,0.71,6.27,649.17,-1.34,25.1,1,104,7,36,766.71,1074.1,1243
8,35,-309.83,-3.1,42,19.05,0.72,6.46,668.51,-1.45,26.0,1,105,8,34,785.2,1095.03,1243
10,29,-312.04,-3.12,42,16.67,0.72,6.58,684.03,-1.34,25.6,1,103,7,35,783.28,1095.32,1243
15,34,-312.95,-3.13,35,20.0,0.72,5.92,609.48,-1.36,32.9,1,195,7,28,810.97,1123.92,1235
9,34,-316.58,-3.17,41,14.63,0.71,6.28,650.05,-1.41,26.7,1,105,6,35,768.51,1085.09,1242
12,22,-318.92,-3.19,43,16.28,0.7,6.72,698.62,-1.39,24.9,1,102,7,36,759.07,1077.99,1243
10,34,-325.33,-3.25,40,12.5,0.7,6.55,679.83,-1.48,27.5,1,105,5,35,751.48,1076.81,1242
14,30,-327.13,-3.27,37,13.51,0.71,6.26,646.97,-1.44,30.1,1,106,5,32,784.02,1111.15,1241
12,23,-334.78,-3.35,43,13.95,0.7,6.83,709.55,-1.46,24.9,1,102,6,37,766.82,1101.61,1243
9,32,-336.17,-3.36,43,16.28,0.7,6.11,629.84,-1.48,25.1,1,104,7,36,769.28,1105.45,1243
10,31,-343.37,-3.43,41,17.07,0.69,6.15,633.87,-1.56,26.6,1,104,7,34,757.73,1101.1,1242
11,32,-344.79,-3.45,40,12.5,0.69,6.47,669.46,-1.58,27.3,1,105,5,35,750.81,1095.6,1242
12,35,-346.75,-3.47,39,17.95,0.68,6.4,659.81,-1.68,29.0,1,109,7,32,747.85,1094.61,1241
10,27,-347.91,-3.48,45,11.11,0.69,6.87,713.77,-1.47,23.9,1,103,5,40,781.14,1129.04,1243
14,34,-348.06,-3.48,36,22.22,0.7,6.21,639.04,-1.68,31.6,2,110,8,28,800.29,1148.35,1240
10,26,-350.02,-3.5,46,13.04,0.69,6.91,717.92,-1.48,23.4,1,102,6,40,769.67,1119.69,1243
12,21,-351.64,-3.52,47,19.15,0.69,7.2,749.81,-1.44,22.8,1,101,9,38,793.41,1145.05,1243
8,34,-359.06,-3.59,44,13.64,0.68,6.67,690.16,-1.53,24.7,1,105,6,38,779.37,1138.43,1243
11,27,-358.78,-3.59,42,16.67,0.69,6.83,708.5,-1.56,25.6,1,103,7,35,782.23,1141.01,1242
10,30,-359.55,-3.6,41,17.07,0.68,6.46,666.99,-1.62,26.4,1,104,7,34,763.12,1122.67,1242
14,22,-362.16,-3.62,41,12.2,0.68,6.66,688.58,-1.59,26.2,1,102,5,36,780.36,1142.52,1242
15,33,-362.36,-3.62,37,21.62,0.69,6.43,662.14,-1.71,30.9,1,109,8,29,813.14,1175.5,1240
9,33,-362.76,-3.63,43,16.28,0.68,6.28,647.04,-1.62,25.3,1,104,7,36,760.78,1123.54,1242
