fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
15,32,5242.83,52.43,23,43.48,5.49,5.75,738.71,6.05,63.7,5,255,10,13,6410.15,1167.33,709
14,33,5199.42,51.99,22,45.45,5.44,5.52,705.52,6.17,65.0,5,255,10,12,6370.31,1170.9,709
11,34,5187.37,51.87,26,53.85,6.5,3.57,447.99,8.08,54.7,1,139,14,12,6129.86,942.49,566
12,23,5146.12,51.46,36,47.22,4.71,2.53,294.39,7.21,38.2,1,136,17,19,6531.9,1385.78,319
15,33,5131.92,51.32,22,40.91,5.3,5.84,745.17,6.12,65.2,5,255,9,13,6326.26,1194.33,709
10,35,5128.0,51.28,27,55.56,7.31,2.43,302.45,8.26,52.6,2,138,15,12,5940.51,812.51,567
14,34,5127.38,51.27,22,40.91,5.15,5.97,763.65,6.08,65.1,5,255,9,13,6362.08,1234.7,709
13,35,5117.33,51.17,22,45.45,5.39,5.52,701.71,6.1,65.2,5,255,10,12,6283.47,1166.13,709
11,35,5104.72,51.05,24,54.17,6.45,3.99,501.88,8.36,59.3,6,139,13,11,6041.9,937.18,567
9,27,5097.32,50.97,38,47.37,4.55,2.54,317.88,6.8,36.4,1,136,18,20,6534.36,1437.05,319
15,31,5096.06,50.96,25,44.0,5.15,5.9,757.93,7.22,58.4,1,226,11,14,6324.44,1228.38,568
8,28,5089.96,50.9,39,48.72,4.58,2.55,320.46,6.76,35.4,1,136,19,20,6510.05,1420.09,320
12,21,5088.52,50.89,40,45.0,4.2,2.53,311.96,6.61,34.4,1,135,18,22,6679.31,1590.79,319
12,33,5077.27,50.77,24,54.17,5.95,3.99,498.5,8.25,59.3,5,139,13,11,6103.66,1026.39,567
13,20,5076.57,50.77,39,43.59,4.23,2.54,317.28,6.66,35.2,1,135,17,22,6646.05,1569.48,319
11,23,5069.07,50.69,38,44.74,4.36,2.53,320.59,6.74,36.1,1,135,17,21,6578.99,1509.92,319
8,29,5068.39,50.68,37,48.65,4.73,2.55,318.96,7.0,37.5,1,136,18,19,6427.05,1358.66,320
10,25,5040.6,50.41,38,44.74,4.32,2.59,324.65,6.69,36.2,1,135,17,21,6559.57,1518.98,441
11,22,5039.33,50.39,40,47.5,4.22,2.73,341.07,6.67,34.2,1,135,19,21,6603.56,1564.24,319
10,23,5035.83,50.36,41,46.34,4.1,2.79,347.71,6.53,33.3,1,135,19,22,6658.73,1622.9,319
14,35,5035.23,50.35,22,40.91,5.01,5.84,740.41,6.01,65.1,5,255,9,13,6292.34,1257.11,709
14,20,5029.25,50.29,37,45.95,4.49,2.53,294.06,6.96,37.2,1,136,17,20,6469.9,1440.66,319
10,22,4999.16,49.99,42,47.62,4.03,3.0,377.21,6.53,32.4,1,135,20,22,6651.71,1652.56,319
9,26,4996.51,49.97,38,47.37,4.37,2.82,354.42,6.86,36.2,1,136,18,20,6480.31,1483.8,319
