fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
15,35,2976.94,29.77,7,71.43,6.23,3.31,330.75,9.17,73.3,16,176,5,2,3545.96,569.02,260
8,35,2717.4,27.17,8,62.5,5.41,2.6,335.17,7.9,59.4,5,162,5,3,3333.46,616.06,246
7,35,2707.01,27.07,8,62.5,5.42,2.6,333.18,7.69,59.5,5,162,5,3,3319.41,612.41,246
13,35,2591.25,25.91,7,71.43,5.77,3.04,303.63,8.34,72.9,16,176,5,2,3134.28,543.03,260
13,33,2581.53,25.82,7,71.43,6.02,2.74,274.08,8.38,72.6,16,176,5,2,3095.74,514.21,260
13,34,2581.53,25.82,7,71.43,6.02,2.74,274.08,8.38,72.6,16,176,5,2,3095.74,514.21,260
15,34,2576.39,25.76,7,71.43,5.57,3.31,330.75,8.22,73.0,16,175,5,2,3139.57,563.18,259
7,34,2564.04,25.64,9,55.56,4.2,2.6,329.43,6.42,52.9,1,161,5,4,3366.07,802.03,245
9,35,2563.3,25.63,8,62.5,4.25,2.6,331.11,7.31,59.8,5,162,5,3,3352.59,789.29,245
14,33,2562.97,25.63,7,71.43,5.86,3.04,303.63,8.3,72.6,16,176,5,2,3090.6,527.63,260
15,30,2562.97,25.63,7,71.43,5.86,3.04,303.63,8.3,72.6,16,176,5,2,3090.6,527.63,260
15,31,2562.97,25.63,7,71.43,5.86,3.04,303.63,8.3,72.6,16,176,5,2,3090.6,527.63,260
14,34,2551.33,25.51,7,71.43,5.61,3.31,330.75,8.17,72.6,16,175,5,2,3104.85,553.52,260
14,35,2551.33,25.51,7,71.43,5.61,3.31,330.75,8.17,72.6,16,175,5,2,3104.85,553.52,260
12,35,2548.08,25.48,7,71.43,5.96,2.74,274.08,8.38,72.7,17,176,5,2,3062.29,514.21,260
7,33,2545.96,25.46,10,50.0,4.16,2.4,292.96,5.96,50.1,1,161,5,5,3352.27,806.3,245
14,31,2543.3,25.43,7,71.43,5.68,3.04,303.63,8.22,72.7,16,176,5,2,3086.34,543.03,260
14,32,2543.3,25.43,7,71.43,5.68,3.04,303.63,8.22,72.7,16,176,5,2,3086.34,543.03,260
15,33,2538.95,25.39,7,71.43,5.51,3.31,330.75,8.12,72.7,16,175,5,2,3102.12,563.17,259
15,32,2537.36,25.37,7,71.43,5.58,3.31,330.75,8.15,72.3,16,175,5,2,3091.49,554.13,260
8,31,2503.25,25.03,10,50.0,4.18,2.4,293.47,6.01,49.8,1,161,5,5,3289.31,786.07,245
7,32,2477.21,24.77,11,45.45,3.62,3.94,411.27,5.35,45.4,2,162,5,6,3421.97,944.76,317
10,35,2439.29,24.39,8,62.5,4.66,2.38,274.83,7.42,60.1,7,162,5,3,3106.58,667.29,246
9,31,2407.45,24.07,9,55.56,3.86,2.6,327.0,6.39,55.3,5,162,5,4,3247.88,840.43,246
10,26,2396.17,23.96,10,50.0,3.77,2.97,308.09,5.74,49.6,3,161,5,5,3260.36,864.19,245
8,34,2386.11,23.86,9,55.56,3.77,2.6,326.44,6.33,55.6,5,162,5,4,3246.62,860.51,246
9,32,2386.11,23.86,9,55.56,3.77,2.6,326.44,6.33,55.6,5,162,5,4,3246.62,860.51,246
9,33,2386.11,23.86,9,55.56,3.77,2.6,326.44,6.33,55.6,5,162,5,4,3246.62,860.51,246
15,26,2382.71,23.83,8,62.5,4.32,2.74,274.08,7.21,62.9,11,162,5,3,3101.26,718.56,246
8,30,2366.57,23.67,11,45.45,3.51,3.94,411.27,5.34,45.2,2,161,5,6,3309.48,942.91,317
10,29,2351.06,23.51,9,55.56,3.68,2.6,289.89,6.24,55.1,4,162,5,4,3227.92,876.86,246
14,30,2349.05,23.49,8,62.5,4.44,2.74,274.08,7.02,63.4,13,162,5,3,3032.17,683.12,246
15,29,2330.84,23.31,8,62.5,4.35,3.04,303.63,6.96,63.4,13,162,5,3,3027.13,696.29,246
9,28,2329.82,23.3,10,50.0,3.71,2.97,306.47,5.6,49.8,3,161,5,5,3191.02,861.2,245
10,28,2326.04,23.26,9,55.56,3.58,2.6,289.31,6.17,55.0,4,162,5,4,3226.45,900.41,246
11,26,2326.04,23.26,9,55.56,3.58,2.6,289.31,6.17,55.0,4,162,5,4,3226.45,900.41,246
8,32,2318.5,23.18,9,55.56,3.99,2.6,289.13,6.2,55.2,4,162,5,4,3094.5,776.0,246
12,34,2316.21,23.16,8,62.5,4.39,2.74,274.08,7.02,63.5,13,162,5,3,2999.34,683.12,246
13,31,2316.21,23.16,8,62.5,4.39,2.74,274.08,7.02,63.5,13,162,5,3,2999.34,683.12,246
13,32,2316.21,23.16,8,62.5,4.39,2.74,274.08,7.02,63.5,13,162,5,3,2999.34,683.12,246
14,23,2310.53,23.11,9,55.56,3.3,2.51,289.47,6.09,55.1,4,162,5,4,3315.11,1004.58,245
14,26,2308.85,23.09,9,55.56,3.32,2.51,284.5,6.01,55.9,6,163,5,4,3304.24,995.38,246
11,34,2306.9,23.07,8,62.5,4.38,2.74,274.08,7.0,63.5,13,162,5,3,2989.72,682.81,246
12,32,2306.9,23.07,8,62.5,4.38,2.74,274.08,7.0,63.5,13,162,5,3,2989.72,682.81,246
11,35,2296.77,22.97,8,62.5,4.37,2.74,274.08,6.97,63.6,13,162,5,3,2979.25,682.48,246
12,33,2296.77,22.97,8,62.5,4.37,2.74,274.08,6.97,63.6,13,162,5,3,2979.25,682.48,246
14,29,2296.77,22.97,8,62.5,4.1,2.74,274.08,6.84,63.1,12,162,5,3,3038.59,741.83,246
9,30,2294.09,22.94,9,55.56,3.87,2.6,288.56,6.13,55.1,4,162,5,4,3093.06,798.97,246
13,30,2292.82,22.93,8,62.5,4.21,2.74,274.08,6.94,63.1,11,162,5,3,3007.71,714.89,246
11,29,2287.23,22.87,9,55.56,3.25,2.6,324.42,6.03,55.4,5,162,5,4,3302.89,1015.65,245
15,27,2284.39,22.84,8,62.5,4.08,2.74,274.08,6.82,63.0,12,162,5,3,3026.22,741.83,246
14,28,2280.46,22.8,8,62.5,4.19,2.74,274.08,6.91,63.0,11,162,5,3,2995.34,714.89,246
15,22,2275.55,22.76,9,55.56,3.19,2.6,324.12,5.99,55.2,5,162,5,4,3314.77,1039.22,245
12,27,2262.35,22.62,9,55.56,3.18,2.6,323.77,5.96,55.3,5,162,5,4,3301.22,1038.88,245
13,25,2262.35,22.62,9,55.56,3.18,2.6,323.77,5.96,55.3,5,162,5,4,3301.22,1038.88,245
14,24,2262.35,22.62,9,55.56,3.18,2.6,323.77,5.96,55.3,5,162,5,4,3301.22,1038.88,245
14,25,2253.47,22.53,9,55.56,3.22,2.6,323.53,5.95,55.4,5,162,5,4,3267.02,1013.55,245
15,24,2253.47,22.53,9,55.56,3.22,2.6,323.53,5.95,55.4,5,162,5,4,3267.02,1013.55,245
15,28,2249.31,22.49,8,62.5,3.92,3.04,303.63,6.69,63.4,12,162,5,3,3018.88,769.57,246
15,23,2241.81,22.42,9,55.56,3.16,2.6,323.23,5.91,55.2,5,162,5,4,3278.87,1037.06,245
7,31,2238.49,22.38,13,38.46,2.93,5.09,527.76,4.38,38.2,2,162,5,8,3396.89,1158.4,317
8,33,2238.07,22.38,9,55.56,3.62,2.6,322.53,5.97,55.4,5,162,5,4,3091.41,853.34,246
10,32,2224.05,22.24,9,55.56,3.14,2.6,322.17,5.82,55.8,5,162,5,4,3264.43,1040.38,245
8,29,2221.84,22.22,12,41.67,2.89,5.03,521.2,4.54,41.3,3,162,5,7,3397.23,1175.39,318
10,33,2213.08,22.13,9,55.56,3.14,2.6,322.47,5.85,55.8,5,162,5,4,3245.06,1031.98,245
11,30,2213.08,22.13,9,55.56,3.14,2.6,322.47,5.85,55.8,5,162,5,4,3245.06,1031.98,245
11,31,2213.08,22.13,9,55.56,3.14,2.6,322.47,5.85,55.8,5,162,5,4,3245.06,1031.98,245
12,29,2213.08,22.13,9,55.56,3.14,2.6,322.47,5.85,55.8,5,162,5,4,3245.06,1031.98,245
13,27,2213.08,22.13,9,55.56,3.14,2.6,322.47,5.85,55.8,5,162,5,4,3245.06,1031.98,245
13,26,2209.34,22.09,9,55.56,3.13,2.6,322.37,5.84,55.4,5,162,5,4,3244.81,1035.47,245
11,27,2185.36,21.85,9,55.56,3.16,2.6,286.01,5.78,55.1,4,162,5,4,3195.17,1009.81,245
12,25,2185.36,21.85,9,55.56,3.16,2.6,286.01,5.78,55.1,4,162,5,4,3195.17,1009.81,245
14,22,2177.5,21.77,9,55.56,3.15,2.51,285.01,5.81,54.8,3,162,5,4,3188.57,1011.07,245
15,21,2176.18,21.76,9,55.56,3.15,2.51,286.31,5.8,54.9,4,162,5,4,3188.56,1012.38,245
10,30,2175.4,21.75,9,55.56,3.13,2.6,320.88,5.75,55.3,5,162,5,4,3196.23,1020.83,245
11,28,2175.4,21.75,9,55.56,3.13,2.6,320.88,5.75,55.3,5,162,5,4,3196.23,1020.83,245
12,26,2174.42,21.74,9,55.56,3.17,2.51,286.27,5.81,55.1,4,162,5,4,3175.8,1001.38,245
12,28,2174.27,21.74,10,50.0,3.04,2.6,321.44,5.38,50.1,1,162,5,5,3242.46,1068.2,245
13,24,2174.42,21.74,9,55.56,3.17,2.51,286.27,5.81,55.1,4,162,5,4,3175.8,1001.38,245
6,35,2172.17,21.72,12,41.67,2.82,6.26,656.59,4.46,39.8,1,162,5,7,3363.48,1191.31,317
13,23,2166.1,21.66,9,55.56,3.12,2.6,284.74,5.78,54.7,3,162,5,4,3185.59,1019.49,245
13,28,2160.84,21.61,9,55.56,3.18,2.51,281.08,5.98,55.8,6,162,5,4,3150.2,989.36,246
10,31,2154.46,21.54,9,55.56,3.07,2.6,320.33,5.69,55.6,5,162,5,4,3194.99,1040.53,245
11,32,2153.54,21.54,9,55.56,3.2,2.51,280.91,5.97,56.0,6,162,5,4,3130.63,977.09,246
6,34,2148.66,21.49,12,41.67,2.78,6.44,675.58,4.41,39.7,1,162,5,7,3357.92,1209.27,317
12,30,2141.64,21.42,9,55.56,3.17,2.51,280.63,5.93,55.9,6,162,5,4,3129.84,988.19,246
14,27,2132.52,21.33,9,55.56,3.11,2.74,280.42,5.89,55.7,6,162,5,4,3142.87,1010.35,246
15,25,2132.52,21.33,9,55.56,3.11,2.74,280.42,5.89,55.7,6,162,5,4,3142.87,1010.35,246
9,34,2101.92,21.02,9,55.56,3.03,2.6,318.95,5.57,55.7,5,162,5,4,3139.08,1037.16,245
8,28,2084.57,20.85,13,46.15,2.79,5.03,518.91,4.12,37.9,3,162,6,7,3252.19,1167.62,318
11,33,2065.32,20.65,9,55.56,3.15,2.51,266.57,5.74,56.2,7,162,5,4,3024.4,959.08,246
13,29,2044.12,20.44,9,55.56,3.06,2.74,278.38,5.67,55.9,6,162,5,4,3037.39,993.27,246
9,29,2037.69,20.38,10,50.0,3.03,2.6,282.54,5.09,49.6,1,162,5,5,3040.12,1002.43,246
9,27,2033.89,20.34,12,41.67,2.75,5.03,515.77,4.31,41.0,3,162,5,7,3196.66,1162.77,318
10,27,2031.24,20.31,10,50.0,3.02,2.6,282.39,5.07,49.7,2,162,5,5,3038.69,1007.45,246
11,24,2029.19,20.29,12,41.67,2.84,5.12,535.64,4.53,41.2,3,162,5,7,3132.81,1103.62,319
12,31,2025.11,20.25,9,55.56,3.04,2.74,277.94,5.62,56.0,6,162,5,4,3017.24,992.13,246
10,34,2017.2,20.17,9,55.56,3.08,2.51,277.76,5.69,56.0,6,161,5,4,2986.87,969.67,245
