fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
7,35,-2797.44,-27.97,48,12.5,0.29,36.5,3649.83,-4.69,18.9,1,135,6,42,1167.67,3965.1,2059
6,35,-2818.54,-28.19,50,12.0,0.29,36.68,3668.44,-4.69,18.0,1,135,6,44,1131.21,3949.75,2059
7,34,-2842.78,-28.43,49,12.24,0.28,36.9,3689.81,-4.74,18.5,1,135,6,43,1132.13,3974.91,2059
15,35,-2847.15,-28.47,37,13.51,0.31,37.63,3763.47,-16.95,23.8,1,135,5,32,1257.55,4104.7,2059
15,34,-2847.71,-28.48,38,10.53,0.3,37.64,3763.96,-16.7,23.3,1,135,4,34,1205.92,4053.62,2059
6,33,-2858.99,-28.59,52,13.46,0.31,37.28,3727.5,-4.46,17.5,1,134,7,45,1267.09,4126.08,2059
7,31,-2899.6,-29.0,49,14.29,0.3,37.63,3763.17,-4.67,18.7,1,134,7,42,1233.87,4133.47,2059
14,35,-2915.82,-29.16,39,10.26,0.29,38.23,3823.34,-16.8,22.8,1,136,4,35,1197.19,4113.01,2059
7,33,-2946.54,-29.47,50,12.0,0.27,37.81,3781.29,-4.89,18.2,1,135,6,44,1112.47,4059.01,2059
7,32,-2953.26,-29.53,50,12.0,0.28,37.87,3787.21,-4.89,18.3,1,135,6,44,1133.91,4087.17,2059
14,20,-2992.19,-29.92,44,15.91,0.29,38.44,3844.5,-4.95,21.1,2,134,7,37,1200.04,4192.23,2059
5,29,-3005.06,-30.05,58,15.52,0.36,40.08,4008.25,-3.63,16.1,1,134,9,49,1698.83,4703.89,2059
15,33,-3008.9,-30.09,40,10.0,0.28,39.04,3904.5,-17.09,22.3,1,136,4,36,1182.48,4191.37,2059
6,34,-3010.54,-30.11,51,11.76,0.28,38.38,3837.71,-4.94,17.8,1,135,6,45,1152.15,4162.69,2059
9,35,-3027.13,-30.27,41,14.63,0.27,39.2,3920.4,-18.83,21.9,1,137,6,35,1105.5,4132.64,2059
5,30,-3032.64,-30.33,57,15.79,0.36,40.32,4031.88,-3.68,16.3,1,134,9,48,1716.53,4749.17,2059
10,35,-3032.98,-30.33,40,12.5,0.26,39.25,3925.5,-19.26,22.3,1,136,5,35,1090.16,4123.15,2059
9,32,-3040.71,-30.41,44,13.64,0.26,38.87,3887.12,-5.17,20.6,1,136,6,38,1044.49,4085.2,2059
12,35,-3052.16,-30.52,41,9.76,0.27,39.42,3942.22,-18.22,21.8,1,136,4,37,1118.05,4170.21,2059
8,35,-3068.82,-30.69,46,13.04,0.25,39.12,3911.81,-5.14,19.7,1,136,6,40,1041.45,4110.27,2059
11,34,-3070.83,-30.71,39,12.82,0.26,39.58,3958.49,-19.43,22.9,1,136,5,34,1083.5,4154.33,2059
10,34,-3072.39,-30.72,41,14.63,0.26,39.6,3959.85,-18.86,21.9,1,136,6,35,1100.7,4173.09,2059
6,32,-3077.77,-30.78,53,13.21,0.29,39.2,3919.68,-4.76,17.3,1,134,7,46,1233.43,4311.2,2059
9,33,-3078.31,-30.78,43,13.95,0.25,39.2,3920.15,-5.28,21.0,1,136,6,37,1038.01,4116.32,2059
8,34,-3088.73,-30.89,47,12.77,0.25,39.29,3929.3,-5.11,19.2,1,136,6,41,1037.9,4126.64,2059
5,27,-3103.72,-31.04,60,15.0,0.35,41.36,4136.2,-3.56,15.6,1,133,9,51,1688.87,4792.59,2070
11,33,-3104.31,-31.04,39,12.82,0.26,39.88,3987.68,-19.7,23.0,1,136,5,34,1079.94,4184.25,2059
11,35,-3104.1,-31.04,40,10.0,0.25,39.88,3987.5,-20.5,22.4,1,136,4,36,1034.37,4138.47,2059
9,34,-3105.2,-31.05,42,14.29,0.26,39.88,3988.46,-18.81,21.4,1,137,6,36,1094.11,4199.31,2059
11,29,-3135.63,-31.36,42,14.29,0.27,39.7,3970.5,-5.35,21.7,2,136,6,36,1134.67,4270.3,2059
5,26,-3140.26,-31.4,62,16.13,0.35,41.1,4109.92,-3.81,15.0,1,112,10,52,1659.88,4800.14,2070
13,35,-3145.88,-31.46,40,10.0,0.26,40.24,4023.93,-18.35,22.3,1,136,4,36,1106.16,4252.04,2059
8,33,-3154.99,-31.55,48,12.5,0.26,39.65,3965.06,-5.25,18.9,1,135,6,42,1116.32,4271.31,2059
14,34,-3154.89,-31.55,41,9.76,0.27,40.32,4031.79,-17.61,21.7,1,136,4,37,1185.14,4340.03,2059
6,22,-3163.95,-31.64,63,17.46,0.36,41.52,4151.76,-3.72,15.0,1,111,11,52,1743.13,4907.08,2070
13,34,-3164.76,-31.65,41,9.76,0.26,40.4,4040.39,-18.46,21.7,1,136,4,37,1102.25,4267.01,2059
10,26,-3175.17,-31.75,47,14.89,0.27,39.83,3982.86,-5.29,19.7,1,135,7,40,1151.05,4326.22,2059
5,28,-3179.22,-31.79,60,15.0,0.34,41.57,4157.44,-3.82,15.6,1,134,9,51,1634.88,4814.1,2070
10,33,-3179.14,-31.79,42,14.29,0.25,40.53,4052.93,-18.84,21.4,1,136,6,36,1083.46,4262.61,2059
12,32,-3183.47,-31.83,38,13.16,0.25,40.57,4056.7,-20.41,23.6,1,136,5,33,1066.75,4250.22,2059
6,21,-3183.95,-31.84,65,18.46,0.36,41.47,4147.43,-3.76,14.5,1,110,12,53,1771.67,4955.61,2068
13,21,-3197.13,-31.97,46,15.22,0.27,40.25,4024.51,-5.23,20.2,1,134,7,39,1196.18,4393.3,2059
14,24,-3197.94,-31.98,42,14.29,0.26,40.25,4025.23,-5.47,21.8,1,135,6,36,1125.16,4323.11,2059
10,31,-3202.36,-32.02,42,14.29,0.25,40.29,4029.11,-5.57,21.6,1,136,6,36,1046.01,4248.37,2059
13,26,-3205.3,-32.05,42,14.29,0.26,40.32,4031.7,-5.47,21.7,1,135,6,36,1126.56,4331.86,2059
8,32,-3216.02,-32.16,50,12.0,0.25,40.19,4018.88,-5.3,18.3,1,135,6,44,1077.61,4293.63,2059
15,29,-3224.02,-32.24,42,11.9,0.26,40.92,4092.06,-17.67,21.3,1,136,5,37,1140.18,4364.2,2059
5,25,-3224.61,-32.25,64,15.62,0.34,41.82,4182.35,-3.88,14.6,1,112,10,54,1646.19,4870.81,2070
13,20,-3226.45,-32.26,47,14.89,0.27,40.5,4050.27,-5.24,19.9,1,134,7,40,1192.83,4419.28,2059
11,25,-3229.18,-32.29,46,15.22,0.26,40.3,4030.48,-5.44,20.1,1,135,7,39,1143.46,4372.65,2059
12,34,-3231.95,-32.32,42,9.52,0.25,40.99,4098.97,-18.82,21.3,1,136,4,38,1093.2,4325.14,2059
6,23,-3233.77,-32.34,61,14.75,0.35,42.68,4267.86,-3.62,15.5,1,132,9,52,1706.31,4940.08,2070
9,28,-3233.79,-32.34,47,14.89,0.26,40.35,4034.54,-5.43,19.7,1,135,7,40,1141.03,4374.81,2059
13,33,-3234.65,-32.35,41,9.76,0.25,41.01,4101.33,-18.79,21.7,1,136,4,37,1090.14,4324.79,2059
9,31,-3235.87,-32.36,45,13.33,0.24,40.36,4036.37,-5.63,20.2,1,135,6,39,994.13,4230.0,2059
13,25,-3235.63,-32.36,43,13.95,0.24,40.58,4058.34,-5.53,21.3,1,135,6,37,1039.9,4275.54,2059
15,28,-3236.17,-32.36,40,12.5,0.26,41.03,4102.65,-18.97,22.4,1,136,5,35,1113.3,4349.46,2059
10,30,-3241.25,-32.41,43,13.95,0.24,40.63,4063.27,-5.56,21.2,1,136,6,37,1014.79,4256.04,2059
14,31,-3244.68,-32.45,41,9.76,0.25,41.1,4110.07,-18.64,21.8,1,136,4,37,1089.48,4334.15,2059
12,21,-3252.93,-32.53,47,14.89,0.27,40.74,4073.53,-5.29,20.0,2,134,7,40,1215.96,4468.89,2059
14,29,-3254.38,-32.54,41,12.2,0.25,41.19,4118.53,-18.49,21.9,1,136,5,36,1107.95,4362.33,2059
7,21,-3264.49,-32.64,61,14.75,0.34,42.94,4293.88,-3.68,15.6,1,132,9,52,1678.44,4942.93,2070
5,32,-3266.25,-32.66,55,12.73,0.27,40.85,4085.23,-5.03,16.8,1,134,7,48,1218.16,4484.41,2059
15,30,-3265.57,-32.66,41,9.76,0.25,41.28,4128.29,-18.65,21.8,1,136,4,37,1086.89,4352.46,2059
5,24,-3273.04,-32.73,68,17.65,0.34,42.45,4245.09,-3.75,13.7,1,111,12,56,1694.21,4967.25,2070
12,26,-3273.13,-32.73,43,13.95,0.24,40.91,4091.27,-5.63,21.3,2,136,6,37,1009.65,4282.78,2059
10,27,-3274.35,-32.74,47,12.77,0.25,40.7,4070.3,-5.52,19.5,1,135,6,41,1066.72,4341.07,2059
12,27,-3274.71,-32.75,44,13.64,0.24,40.93,4092.66,-5.56,20.7,1,135,6,38,1034.98,4309.68,2059
7,20,-3277.7,-32.78,65,15.38,0.35,43.05,4305.07,-3.56,14.7,1,132,10,55,1765.59,5043.28,2070
14,30,-3278.11,-32.78,42,11.9,0.26,41.39,4139.22,-18.19,21.4,1,136,5,37,1130.87,4408.98,2059
15,23,-3279.48,-32.79,42,14.29,0.25,40.97,4096.85,-5.63,21.7,1,135,6,36,1111.9,4391.38,2059
12,22,-3281.92,-32.82,47,14.89,0.27,40.99,4098.99,-5.34,19.8,1,134,7,40,1184.54,4466.46,2059
7,30,-3283.58,-32.84,50,14.0,0.26,41.0,4100.45,-5.28,18.4,2,134,7,43,1174.96,4458.54,2059
12,23,-3284.59,-32.85,47,14.89,0.26,40.79,4079.33,-5.49,19.7,1,135,7,40,1135.9,4420.49,2059
11,24,-3291.39,-32.91,48,14.58,0.26,41.07,4107.31,-5.32,19.3,1,134,7,41,1182.89,4474.28,2059
15,31,-3291.95,-32.92,41,9.76,0.25,41.51,4151.29,-19.09,21.7,1,136,4,37,1082.69,4374.64,2059
9,30,-3292.71,-32.93,47,12.77,0.25,40.86,4086.49,-5.57,19.5,1,135,6,41,1091.79,4384.5,2059
15,20,-3295.92,-32.96,45,13.33,0.23,40.89,4089.32,-5.7,20.5,1,135,6,39,984.44,4280.36,2059
11,27,-3297.92,-32.98,45,13.33,0.23,40.91,4091.08,-5.72,20.3,1,135,6,39,985.6,4283.52,2059
15,22,-3298.98,-32.99,43,13.95,0.24,41.14,4113.98,-5.66,21.3,2,135,6,37,1030.22,4329.2,2059
6,31,-3300.84,-33.01,56,12.5,0.27,41.16,4115.62,-5.03,16.4,1,134,7,49,1201.86,4502.71,2059
15,24,-3300.93,-33.01,40,15.0,0.24,41.59,4159.12,-5.59,22.7,1,136,6,34,1067.95,4368.88,2059
8,29,-3302.66,-33.03,49,14.29,0.26,41.17,4117.22,-5.32,18.8,2,134,7,42,1178.9,4481.56,2059
13,30,-3303.16,-33.03,41,12.2,0.24,41.61,4161.07,-19.74,21.9,1,136,5,36,1050.73,4353.89,2059
12,33,-3308.95,-33.09,40,12.5,0.24,41.66,4166.11,-20.44,22.4,1,136,5,35,1049.04,4357.98,2059
14,33,-3309.36,-33.09,41,9.76,0.25,41.66,4166.47,-18.89,21.7,1,136,4,37,1079.83,4389.19,2059
13,22,-3310.65,-33.11,47,14.89,0.24,41.02,4102.31,-5.61,19.7,1,135,7,40,1024.64,4335.29,2059
13,28,-3313.86,-33.14,41,14.63,0.24,41.7,4170.39,-19.59,22.1,1,136,6,35,1065.51,4379.37,2059
5,33,-3314.69,-33.15,56,12.5,0.26,41.28,4127.78,-5.09,16.4,1,134,7,49,1180.57,4495.26,2059
10,32,-3321.56,-33.22,43,13.95,0.24,41.77,4177.11,-19.42,21.0,1,137,6,37,1062.27,4383.83,2059
13,31,-3325.14,-33.25,42,11.9,0.25,41.8,4180.23,-18.89,21.3,1,136,5,37,1096.74,4421.87,2059
13,32,-3325.16,-33.25,42,9.52,0.24,41.8,4180.24,-19.25,21.3,1,136,4,38,1078.09,4403.25,2059
13,29,-3326.02,-33.26,42,14.29,0.24,41.81,4180.99,-19.42,21.5,1,136,6,36,1064.31,4390.33,2059
14,32,-3328.81,-33.29,41,9.76,0.24,41.83,4183.43,-19.08,21.8,1,136,4,37,1076.74,4405.55,2059
15,32,-3329.87,-33.3,41,9.76,0.26,41.84,4184.35,-18.38,21.7,1,136,4,37,1155.08,4484.95,2059
9,29,-3333.22,-33.33,47,12.77,0.24,41.22,4122.2,-5.66,19.6,1,135,6,41,1055.81,4389.03,2059
13,27,-3337.66,-33.38,41,14.63,0.24,41.91,4191.14,-5.61,22.1,1,136,6,35,1062.3,4399.96,2059
15,26,-3338.53,-33.39,41,14.63,0.25,41.92,4191.9,-18.67,22.1,1,136,6,35,1114.03,4452.56,2059
11,26,-3343.12,-33.43,46,13.04,0.23,41.31,4130.93,-5.76,19.9,1,135,6,40,978.95,4322.07,2059
15,27,-3344.94,-33.45,41,12.2,0.25,41.97,4197.49,-18.83,22.0,1,136,5,36,1096.72,4441.66,2059
12,29,-3345.82,-33.46,42,14.29,0.24,41.98,4198.25,-19.37,21.6,1,136,6,36,1060.56,4406.38,2059
12,31,-3346.79,-33.47,41,12.2,0.24,41.99,4199.11,-20.13,21.9,1,136,5,36,1044.36,4391.16,2059
14,23,-3346.6,-33.47,43,13.95,0.23,41.34,4134.0,-5.92,21.3,2,134,6,37,977.74,4324.34,2059
11,28,-3352.07,-33.52,44,13.64,0.23,41.61,4160.61,-5.73,20.7,1,136,6,38,999.41,4351.48,2059
14,26,-3356.42,-33.56,41,14.63,0.24,42.08,4207.5,-19.73,22.2,1,136,6,35,1059.36,4415.78,2059
15,25,-3356.25,-33.56,41,14.63,0.24,42.07,4207.36,-19.79,22.1,1,136,6,35,1060.5,4416.75,2059
9,27,-3361.7,-33.62,49,14.29,0.26,41.69,4169.07,-5.43,18.9,1,134,7,42,1169.15,4530.85,2059
11,31,-3361.74,-33.62,43,13.95,0.24,42.12,4212.14,-19.12,21.0,1,136,6,37,1058.32,4420.06,2059
11,32,-3362.4,-33.62,42,14.29,0.24,42.13,4212.72,-19.56,21.5,1,136,6,36,1056.99,4419.39,2059
