fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
8,21,3632.42,36.32,45,31.11,1.2,44.39,7533.16,1.67,19.2,1,102,14,31,22109.33,18476.91,1679
8,20,3212.05,32.12,47,31.91,1.18,45.87,7515.87,1.55,18.3,1,59,15,32,21494.6,18282.55,1679
9,20,3191.32,31.91,43,32.56,1.18,44.56,7340.91,1.64,20.2,1,102,14,29,20809.85,17618.53,1679
6,22,2562.79,25.63,52,26.92,1.15,47.61,7183.79,1.35,16.6,1,56,14,38,19826.53,17263.74,1679
6,21,2498.53,24.99,54,25.93,1.14,45.8,6792.07,1.31,15.9,1,56,14,40,19755.03,17256.5,1679
7,21,2281.17,22.81,49,28.57,1.13,50.76,7940.03,1.34,17.4,1,56,14,35,19682.42,17401.25,1683
9,22,2185.9,21.86,43,34.88,1.13,49.66,8313.77,1.41,20.0,1,102,15,28,19118.69,16932.78,1679
9,21,2172.43,21.72,43,32.56,1.13,49.07,8110.57,1.41,20.0,1,102,14,29,18940.8,16768.37,1679
6,24,2169.6,21.7,52,25.0,1.12,50.4,8155.83,1.28,16.5,1,102,13,39,20337.88,18168.28,1679
12,27,2147.66,21.48,35,28.57,1.13,49.68,8485.01,1.56,23.7,1,126,10,25,18484.16,16336.49,1673
6,20,2062.57,20.63,56,28.57,1.12,46.85,6776.0,1.21,15.3,1,55,16,40,19561.53,17498.97,1679
7,23,2050.94,20.51,46,30.43,1.11,50.8,8632.71,1.34,18.8,1,102,14,32,19958.61,17907.67,1683
8,23,2041.49,20.41,44,31.82,1.12,49.13,8055.21,1.36,19.5,1,102,14,30,19015.43,16973.94,1679
8,24,2034.85,20.35,44,31.82,1.12,51.56,8824.13,1.36,19.5,1,102,14,30,18916.19,16881.34,1695
10,20,2025.19,20.25,44,34.09,1.12,50.32,8424.92,1.36,19.7,1,102,15,29,19290.43,17265.24,1680
8,22,2006.99,20.07,44,31.82,1.12,48.61,7879.71,1.35,19.7,1,102,14,30,18855.54,16848.54,1679
10,21,1984.14,19.84,42,35.71,1.12,50.69,8486.47,1.38,20.6,1,102,15,27,19050.55,17066.41,1680
10,22,1873.33,18.73,40,30.0,1.11,52.8,9383.2,1.38,21.6,1,102,12,28,19231.99,17358.67,1680
6,23,1859.43,18.59,52,26.92,1.11,48.62,7401.17,1.21,16.5,1,56,14,38,19026.81,17167.38,1679
13,25,1835.25,18.35,35,25.71,1.11,48.69,8170.63,1.48,23.8,1,122,9,26,18398.02,16562.77,1673
12,26,1791.53,17.92,34,26.47,1.11,49.04,8255.28,1.49,24.6,2,124,9,25,18145.19,16353.66,1673
10,30,1782.15,17.82,37,27.03,1.11,51.37,8806.93,1.43,22.6,1,126,10,27,18754.9,16972.75,1680
9,23,1766.1,17.66,41,31.71,1.11,51.27,8774.66,1.34,21.0,1,102,13,28,18417.8,16651.7,1679
8,33,1753.4,17.53,40,25.0,1.1,51.1,8809.33,1.36,21.7,1,129,10,30,18918.81,17165.41,1679
11,20,1724.2,17.24,42,33.33,1.1,52.88,9154.7,1.32,20.5,1,102,14,28,19503.68,17779.48,1680
9,31,1703.99,17.04,39,25.64,1.1,51.16,8793.62,1.36,22.3,1,128,10,29,18866.3,17162.32,1679
7,24,1701.36,17.01,46,32.61,1.1,47.99,7561.67,1.25,18.8,1,102,15,31,18641.88,16940.52,1679
9,32,1679.98,16.8,40,25.0,1.1,51.31,8829.36,1.34,21.6,1,126,10,30,19180.74,17500.75,1679
15,23,1622.04,16.22,32,25.0,1.1,49.16,8537.42,1.49,25.9,1,121,8,24,18166.91,16544.87,1673
10,29,1601.21,16.01,38,26.32,1.09,53.15,9325.23,1.35,22.9,1,128,10,28,18605.32,17004.1,1680
13,20,1544.48,15.44,39,25.64,1.09,53.26,9423.61,1.31,22.2,1,103,10,29,18989.72,17445.24,1695
8,26,1487.55,14.88,40,27.5,1.09,50.52,8316.15,1.28,21.7,1,102,11,29,17736.1,16248.55,1679
10,23,1479.17,14.79,40,27.5,1.08,54.87,9896.0,1.29,21.6,1,102,11,29,19339.21,17860.05,1695
12,20,1473.69,14.74,40,27.5,1.08,54.8,9965.78,1.29,21.5,1,102,11,29,19755.3,18281.61,1681
12,29,1459.61,14.6,31,25.81,1.1,51.25,8418.73,1.44,25.3,1,125,8,23,15963.67,14504.05,1681
5,24,1440.2,14.4,56,26.79,1.08,49.11,7059.76,1.09,15.3,1,56,15,41,18951.26,17511.06,1679
10,32,1429.32,14.29,33,27.27,1.09,50.28,8259.38,1.39,23.9,1,125,9,24,16950.52,15521.21,1679
7,22,1398.17,13.98,50,28.0,1.08,50.56,8170.82,1.15,17.2,1,102,14,36,19462.44,18064.27,1683
12,24,1325.83,13.26,38,28.95,1.08,51.25,8748.8,1.26,22.8,1,103,11,27,18160.37,16834.55,1673
12,28,1318.61,13.19,32,25.0,1.09,51.33,8431.84,1.38,24.7,1,125,8,24,16696.92,15378.3,1673
13,27,1275.25,12.75,31,25.81,1.08,48.44,7956.99,1.39,25.5,1,125,8,23,16500.29,15225.04,1673
14,24,1272.75,12.73,33,24.24,1.07,51.48,9088.18,1.37,25.2,1,122,8,25,18663.45,17390.7,1673
13,23,1266.7,12.67,38,28.95,1.08,51.1,8649.96,1.25,22.8,1,103,11,27,17886.03,16619.33,1673
8,32,1256.3,12.56,40,22.5,1.07,51.72,8628.11,1.22,21.8,1,129,9,31,18113.03,16856.73,1679
13,26,1254.63,12.55,34,26.47,1.08,54.14,9402.02,1.33,24.2,1,125,9,25,17830.19,16575.56,1673
11,21,1236.61,12.37,40,27.5,1.07,54.41,9606.76,1.22,21.5,1,102,11,29,18933.32,17696.72,1681
11,32,1208.25,12.08,31,25.81,1.08,50.4,8139.15,1.36,25.2,1,125,8,23,15629.64,14421.39,1679
5,25,1159.74,11.6,56,25.0,1.07,49.5,7230.37,1.02,15.3,1,56,14,42,18637.13,17477.38,1695
11,31,1134.85,11.35,32,25.0,1.08,52.63,8645.65,1.32,24.5,1,125,8,24,16122.6,14987.76,1680
12,30,1134.37,11.34,31,25.81,1.08,51.93,8404.78,1.34,25.1,1,124,8,23,15504.1,14369.73,1681
7,20,1131.72,11.32,52,26.92,1.06,53.2,7959.05,1.07,16.5,1,56,14,38,18753.73,17622.02,1683
11,30,1110.51,11.11,32,25.0,1.07,52.74,8662.66,1.31,24.7,1,125,8,24,16180.18,15069.68,1680
12,31,1073.65,10.74,30,23.33,1.07,49.9,8058.3,1.35,25.9,1,125,7,23,15762.39,14688.74,1680
12,21,1064.09,10.64,40,25.0,1.06,55.07,9715.21,1.17,21.7,1,103,10,30,18550.38,17486.29,1695
8,25,1062.13,10.62,42,28.57,1.06,53.59,9025.41,1.14,20.6,1,102,12,30,17640.56,16578.43,1694
10,35,1058.93,10.59,30,23.33,1.07,50.25,8062.19,1.33,26.1,1,125,7,23,15358.14,14299.21,1679
13,28,1037.76,10.38,30,26.67,1.07,50.24,8131.86,1.34,26.0,1,124,8,22,15827.31,14789.54,1673
14,28,1032.96,10.33,29,27.59,1.07,51.18,8358.22,1.36,26.9,1,124,8,21,15893.04,14860.08,1673
15,22,1025.85,10.26,36,27.78,1.06,49.73,8287.66,1.22,23.1,1,103,10,26,17957.62,16931.76,1673
8,34,1020.81,10.21,42,23.81,1.06,52.58,8784.09,1.13,20.5,1,125,10,32,18053.42,17032.61,1679
9,24,1010.47,10.1,41,26.83,1.06,55.89,9892.64,1.15,21.1,1,102,11,30,18329.27,17318.8,1694
8,35,993.4,9.93,40,22.5,1.06,55.73,9729.68,1.17,21.5,1,126,9,31,18587.29,17593.9,1683
11,28,980.9,9.81,36,25.0,1.06,53.41,8917.31,1.21,23.2,1,128,9,27,17122.79,16141.9,1681
9,35,971.56,9.72,34,23.53,1.06,50.1,7897.9,1.23,23.0,1,125,8,26,16092.5,15120.94,1679
7,35,960.8,9.61,42,23.81,1.06,54.29,9359.54,1.11,20.8,1,129,10,32,18236.85,17276.05,1679
12,25,921.29,9.21,38,26.32,1.06,50.62,8220.87,1.15,22.0,1,103,10,28,17150.99,16229.7,1673
13,24,918.08,9.18,37,27.03,1.06,49.84,8044.47,1.16,22.5,1,103,10,27,16871.87,15953.79,1673
