fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
15,20,8330.82,83.31,130,37.69,1.89,9.18,1340.06,2.69,35.0,1,164,49,81,17675.68,9344.86,1346
14,21,8011.71,80.12,134,35.82,1.84,8.08,1163.52,2.57,34.0,1,164,48,86,17510.44,9498.72,1346
14,20,7957.38,79.57,137,35.77,1.83,8.65,1056.58,2.57,33.4,1,164,49,88,17521.14,9563.76,1549
14,23,7800.56,78.01,128,34.38,1.9,8.03,1129.88,2.63,35.5,1,163,44,84,16493.88,8693.31,1417
15,23,7788.87,77.89,122,36.07,1.9,8.61,1164.13,2.7,37.2,1,163,44,78,16475.76,8686.89,1509
13,23,7699.04,76.99,137,35.04,1.82,8.08,1140.62,2.48,33.2,1,164,48,89,17078.41,9379.37,1346
10,29,7676.61,76.77,132,35.61,1.84,8.85,1151.59,2.55,34.6,1,164,47,85,16857.25,9180.64,1782
13,24,7633.66,76.34,133,33.83,1.83,8.02,1131.37,2.52,34.3,1,164,45,88,16794.22,9160.56,1417
14,22,7609.85,76.1,132,35.61,1.84,8.09,1124.31,2.51,34.5,1,164,47,85,16665.56,9055.71,1347
15,21,7603.98,76.04,130,36.15,1.83,9.12,1281.03,2.52,35.0,1,164,47,83,16726.22,9122.24,1347
11,27,7540.43,75.4,133,35.34,1.82,8.8,1146.37,2.51,34.3,1,164,47,86,16712.51,9172.09,1782
15,22,7523.73,75.24,126,34.92,1.84,9.12,1301.36,2.57,36.1,1,163,44,82,16455.22,8931.5,1417
12,26,7410.78,74.11,131,34.35,1.81,9.14,1125.4,2.48,34.9,1,164,45,86,16582.39,9171.61,1781
13,25,7407.17,74.07,128,34.38,1.82,8.99,1095.56,2.53,35.6,1,163,44,84,16415.52,9008.35,1781
11,29,7317.53,73.18,126,35.71,1.81,8.92,1084.68,2.51,36.2,1,164,45,81,16329.18,9011.65,1781
13,22,7297.49,72.97,139,33.81,1.74,8.08,1131.17,2.35,32.8,1,164,47,92,17104.45,9806.95,1346
12,28,7263.21,72.63,124,36.29,1.81,9.74,1171.17,2.53,36.8,1,163,45,79,16186.52,8923.31,1781
14,24,7248.5,72.49,127,34.65,1.82,9.24,1112.44,2.5,35.8,1,163,44,83,16141.85,8893.34,1781
11,28,7234.62,72.35,131,34.35,1.8,8.59,1066.9,2.44,34.8,1,164,45,86,16254.89,9020.27,1781
12,24,7201.79,72.02,138,34.06,1.75,8.08,1121.87,2.35,33.1,1,164,47,91,16841.98,9640.19,1346
14,25,7088.64,70.89,122,37.7,1.79,9.45,1127.27,2.49,37.3,1,163,46,76,16021.02,8932.38,1781
13,27,7060.29,70.6,123,37.4,1.79,9.21,1095.84,2.48,37.0,1,163,46,77,16021.15,8960.86,1781
13,21,7054.96,70.55,143,34.27,1.73,10.38,1204.56,2.28,32.0,1,164,49,94,16704.55,9649.6,2151
11,26,7014.43,70.14,136,34.56,1.74,8.95,1109.08,2.32,33.5,1,164,47,89,16503.43,9489.0,1781
12,27,6980.67,69.81,129,34.88,1.76,9.4,1135.85,2.39,35.4,1,163,45,84,16184.86,9204.18,1781
9,29,6963.25,69.63,139,34.53,1.7,8.84,1102.71,2.27,32.9,1,164,48,91,16862.76,9899.5,1781
15,24,6962.12,69.62,123,37.4,1.78,9.78,1155.05,2.45,37.0,1,163,46,77,15919.41,8957.29,1781
10,28,6955.8,69.56,136,34.56,1.74,8.99,1114.76,2.31,33.6,1,164,47,89,16395.14,9439.34,1782
10,30,6951.91,69.52,130,33.85,1.76,9.11,1098.69,2.37,35.2,1,164,44,86,16092.03,9140.12,1781
9,31,6941.37,69.41,134,35.07,1.75,8.84,1054.81,2.33,34.1,1,164,47,87,16214.78,9273.4,1782
10,31,6923.13,69.23,125,35.2,1.77,9.29,1107.66,2.41,36.6,1,164,44,81,15857.61,8934.48,1781
11,30,6915.47,69.15,123,37.4,1.78,9.24,1092.18,2.43,37.1,1,163,46,77,15780.46,8864.98,1781
14,26,6913.37,69.13,121,38.84,1.75,9.63,1154.45,2.45,37.6,1,163,47,74,16151.89,9238.52,1781
9,30,6899.33,68.99,134,35.07,1.72,8.91,1094.29,2.31,34.1,1,164,47,87,16425.76,9526.43,1782
9,33,6859.49,68.59,124,35.48,1.76,9.25,1096.09,2.4,36.9,1,164,44,80,15842.7,8983.21,1781
13,28,6854.63,68.55,121,37.19,1.75,9.79,1170.24,2.43,37.7,1,164,45,76,16021.66,9167.03,1781
12,29,6847.3,68.47,123,35.77,1.75,9.75,1159.76,2.41,37.1,1,164,44,79,15962.16,9114.86,1781
9,32,6840.86,68.41,131,34.35,1.76,9.14,1097.45,2.34,34.9,1,164,45,86,15874.43,9033.57,1781
15,26,6821.41,68.21,115,36.52,1.77,9.76,1148.84,2.5,39.5,1,164,42,73,15685.45,8864.04,1780
10,32,6770.58,67.71,123,37.4,1.76,9.44,1123.2,2.39,37.1,1,165,46,77,15728.11,8957.53,1781
15,25,6760.35,67.6,120,38.33,1.75,9.92,1184.17,2.43,37.9,1,163,46,74,15742.67,8982.32,1780
12,22,6733.89,67.34,144,34.03,1.69,10.54,1206.4,2.19,31.7,1,164,49,95,16540.05,9806.17,2373
12,23,6715.63,67.16,142,34.51,1.68,8.08,1097.63,2.2,32.2,1,164,49,93,16537.14,9821.52,1346
12,25,6715.06,67.15,137,35.04,1.72,9.07,1096.56,2.24,33.3,1,164,48,89,16070.36,9355.3,1782
13,26,6691.66,66.92,128,34.38,1.73,9.43,1112.9,2.32,35.6,1,163,44,84,15863.39,9171.73,1781
15,27,6681.11,66.81,114,36.84,1.76,11.52,1373.7,2.5,39.9,1,164,42,72,15468.96,8787.85,2170
6,25,6679.84,66.8,176,32.95,1.59,11.36,1279.6,1.91,25.9,1,142,58,118,17915.01,11235.17,2175
8,32,6665.41,66.65,139,33.81,1.67,8.84,1082.44,2.19,32.9,1,164,47,92,16541.5,9876.09,1782
13,20,6641.31,66.41,147,34.69,1.68,11.23,1283.72,2.12,31.1,1,164,51,96,16479.88,9838.58,2373
14,28,6607.99,66.08,114,36.84,1.74,11.19,1326.36,2.45,39.9,1,164,42,72,15530.66,8922.67,2170
10,27,6602.17,66.02,141,34.04,1.66,9.02,1106.3,2.16,32.4,1,164,48,93,16575.77,9973.6,1781
8,34,6499.43,64.99,134,35.82,1.68,9.13,1087.88,2.2,34.2,1,164,48,86,16118.95,9619.52,1781
9,34,6497.26,64.97,125,36.0,1.71,9.43,1113.53,2.28,36.6,1,165,45,80,15610.38,9113.12,1781
11,25,6486.94,64.87,143,33.57,1.65,8.67,1088.73,2.12,32.0,1,164,48,95,16407.19,9920.25,1781
14,27,6464.99,64.65,119,36.97,1.71,10.03,1205.12,2.36,38.2,1,164,44,75,15605.87,9140.88,1780
11,21,6461.27,64.61,157,33.76,1.61,10.35,1168.07,1.98,29.1,1,150,53,104,17006.28,10545.01,2177
7,33,6426.71,64.27,144,33.33,1.64,8.69,1048.52,2.1,31.8,1,164,48,96,16393.12,9966.41,1782
10,26,6321.43,63.21,145,33.79,1.64,8.8,1112.94,2.08,31.6,1,164,49,96,16226.48,9905.05,1781
15,30,6286.24,62.86,108,36.11,1.74,11.89,1418.61,2.46,42.4,1,164,39,69,14794.76,8508.51,2038
11,31,6281.53,62.82,124,35.48,1.69,9.28,1087.11,2.24,36.8,1,164,44,80,15447.32,9165.8,1781
13,29,6274.11,62.74,117,35.04,1.68,10.23,1208.34,2.32,38.9,1,164,41,76,15483.85,9209.74,1781
8,29,6239.37,62.39,148,33.78,1.61,10.37,1178.4,2.04,30.9,1,164,50,98,16510.11,10270.74,2184
10,33,6212.69,62.13,124,36.29,1.67,10.07,1180.55,2.23,36.8,1,164,45,79,15468.19,9255.5,1781
7,32,6192.84,61.93,151,33.77,1.6,9.01,1055.48,2.0,30.4,1,164,51,100,16530.52,10337.69,1781
14,34,6185.78,61.86,108,37.04,1.77,11.76,1368.02,2.46,42.5,1,164,40,68,14195.69,8009.91,2217
11,24,6168.67,61.69,143,34.27,1.63,9.19,1089.29,2.05,31.9,1,164,49,94,15970.17,9801.5,2152
14,29,6169.29,61.69,115,35.65,1.7,11.52,1352.84,2.34,39.6,1,164,41,74,14945.18,8775.89,2170
8,35,6168.5,61.68,130,34.62,1.67,9.02,1066.82,2.16,35.4,1,165,45,85,15390.67,9222.17,1781
14,33,6164.34,61.64,109,36.7,1.75,11.82,1365.07,2.43,42.1,1,164,40,69,14375.33,8210.98,2216
8,33,6135.69,61.36,139,34.53,1.62,9.26,1107.91,2.06,33.0,1,164,48,91,16022.88,9887.18,1782
13,30,6136.25,61.36,115,36.52,1.68,11.22,1322.7,2.32,39.7,1,164,42,73,15177.86,9041.61,2170
9,27,6115.06,61.15,148,33.78,1.62,9.35,1096.64,2.01,30.9,1,164,50,98,16052.49,9937.43,2184
8,31,6111.48,61.11,143,32.87,1.61,9.43,1078.72,2.01,32.0,1,164,47,96,16052.54,9941.05,1824
12,30,6105.2,61.05,124,35.48,1.66,10.37,1219.35,2.2,36.8,1,164,44,80,15301.69,9196.49,2033
9,28,6103.92,61.04,147,33.33,1.62,9.25,1062.18,2.02,31.1,1,164,49,98,16023.77,9919.85,1783
11,32,6094.28,60.94,123,34.96,1.66,9.94,1170.29,2.22,37.1,1,164,43,80,15342.73,9248.45,1782
5,27,6088.55,60.89,187,31.55,1.52,10.8,1224.8,1.69,24.4,1,143,59,128,17720.55,11631.99,2494
6,23,6067.46,60.67,189,34.39,1.51,10.69,1225.77,1.74,24.0,1,133,65,124,17932.52,11865.06,2175
15,32,6064.65,60.65,107,36.45,1.75,12.13,1396.85,2.42,42.9,1,164,39,68,14158.44,8093.79,2216
8,30,6022.0,60.22,147,34.01,1.6,9.15,1047.3,1.98,31.1,1,164,50,97,16038.77,10016.77,1784
10,21,6008.21,60.08,165,33.94,1.56,12.41,1401.08,1.87,27.6,1,142,56,109,16656.66,10648.45,2403
10,34,6003.0,60.03,125,36.0,1.64,10.14,1206.79,2.17,36.7,1,164,45,80,15437.13,9434.13,1862
12,31,5999.74,60.0,119,34.45,1.65,11.61,1391.03,2.24,38.3,1,164,41,78,15166.79,9167.06,2170
11,20,5989.38,59.89,162,35.19,1.57,11.97,1352.98,1.89,28.1,1,142,57,105,16432.81,10443.42,2403
7,22,5961.8,59.62,183,36.07,1.52,10.75,1220.22,1.78,24.7,1,132,66,117,17526.68,11564.89,2174
14,32,5960.66,59.61,113,35.4,1.7,11.85,1393.3,2.32,40.6,1,164,40,73,14504.22,8543.56,2172
8,28,5919.1,59.19,151,33.77,1.58,10.67,1202.69,1.93,30.2,1,164,51,100,16203.16,10284.06,2403
6,34,5918.18,59.18,158,32.28,1.55,9.36,1092.1,1.88,29.0,1,164,51,107,16714.96,10796.78,1786
13,35,5915.85,59.16,114,35.09,1.7,12.12,1421.59,2.3,40.4,1,164,40,74,14324.3,8408.45,2172
15,31,5913.98,59.14,113,36.28,1.7,11.89,1379.75,2.29,40.5,1,164,41,72,14390.64,8476.66,2172
13,34,5899.45,58.99,114,35.09,1.69,12.16,1420.56,2.29,40.3,1,164,40,74,14391.38,8491.93,2172
11,23,5876.07,58.76,150,34.67,1.58,12.62,1429.22,1.91,30.5,1,164,52,98,16070.2,10194.13,2711
