fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
8,32,-3142.3,-31.42,41,21.95,0.43,38.47,3847.39,-7.03,23.6,1,98,9,32,2411.54,5553.85,2047
10,27,-3308.1,-33.08,41,26.83,0.42,39.96,3996.15,-7.26,24.0,2,93,11,30,2380.24,5688.34,2047
9,30,-3327.24,-33.27,39,23.08,0.42,40.13,4013.31,-7.49,25.1,2,98,9,30,2375.96,5703.2,2047
8,33,-3358.0,-33.58,41,21.95,0.41,40.41,4040.91,-7.48,23.6,1,98,9,32,2324.38,5682.38,2047
8,31,-3363.94,-33.64,43,20.93,0.41,40.46,4046.24,-7.32,22.6,1,93,9,34,2352.44,5716.38,2047
9,29,-3376.58,-33.77,41,21.95,0.41,40.58,4057.58,-7.57,23.9,1,98,9,32,2305.81,5682.39,2047
7,34,-3389.46,-33.89,46,21.74,0.42,40.66,4065.61,-6.93,20.7,1,77,10,36,2468.56,5858.02,2047
5,32,-3424.62,-34.25,57,21.05,0.44,40.97,4097.17,-6.47,16.9,1,72,12,45,2706.44,6131.06,2048
5,33,-3437.85,-34.38,58,20.69,0.45,41.09,4109.05,-6.35,16.5,1,72,12,46,2810.13,6247.98,2048
6,35,-3454.44,-34.54,48,22.92,0.42,41.24,4123.94,-6.94,19.8,1,76,11,37,2462.36,5916.79,2047
5,31,-3465.39,-34.65,58,20.69,0.44,41.34,4133.77,-6.52,16.6,1,72,12,46,2705.85,6171.24,2048
9,31,-3468.97,-34.69,41,24.39,0.39,41.4,4140.48,-7.8,23.7,1,98,10,31,2220.51,5689.49,2047
7,32,-3479.58,-34.8,48,20.83,0.42,41.55,4154.87,-6.85,20.1,1,80,10,38,2512.39,5991.98,2047
5,35,-3510.11,-35.1,57,21.05,0.43,41.74,4173.92,-6.57,16.7,1,75,12,45,2695.76,6205.87,2048
10,28,-3530.42,-35.3,40,25.0,0.39,41.96,4195.6,-7.37,24.7,1,97,10,30,2279.6,5810.01,2047
8,34,-3539.48,-35.39,42,21.43,0.39,42.09,4208.56,-7.71,22.9,1,98,9,33,2241.05,5780.53,2047
5,34,-3548.59,-35.49,59,20.34,0.44,42.08,4208.46,-6.37,16.2,1,73,12,47,2830.51,6379.1,2048
7,35,-3565.52,-35.66,47,21.28,0.41,42.24,4223.66,-7.13,20.3,1,98,10,37,2442.17,6007.69,2047
8,30,-3569.16,-35.69,46,21.74,0.42,42.33,4233.11,-7.25,21.1,1,94,10,36,2545.49,6114.65,2047
6,34,-3581.13,-35.81,51,21.57,0.41,42.38,4237.67,-6.96,18.7,1,75,11,40,2478.24,6059.37,2047
7,33,-3594.93,-35.95,48,20.83,0.4,42.5,4250.06,-7.24,20.0,1,77,10,38,2399.98,5994.91,2047
7,31,-3599.19,-35.99,47,21.28,0.4,42.6,4260.04,-7.35,20.6,1,94,10,37,2426.79,6025.98,2047
9,28,-3600.51,-36.01,44,20.45,0.39,42.61,4261.23,-7.78,22.2,2,94,9,35,2268.84,5869.35,2047
10,26,-3603.37,-36.03,44,20.45,0.39,42.64,4263.79,-7.72,22.3,1,94,9,35,2298.48,5901.85,2047
6,32,-3631.58,-36.32,54,22.22,0.41,42.83,4282.96,-6.95,17.9,1,72,12,42,2549.97,6181.55,2047
6,33,-3661.04,-36.61,53,20.75,0.4,43.09,4309.41,-6.99,18.1,1,73,11,42,2466.64,6127.68,2047
12,21,-3690.34,-36.9,44,20.45,0.38,43.42,4341.78,-7.87,22.4,1,94,9,35,2307.51,5997.86,2047
11,22,-3716.08,-37.16,44,20.45,0.37,43.65,4364.86,-8.1,22.5,1,94,9,35,2228.81,5944.88,2047
9,32,-3723.36,-37.23,41,24.39,0.37,43.69,4368.7,-7.77,23.6,1,98,10,31,2199.56,5922.91,2047
6,31,-3725.59,-37.26,55,20.0,0.4,43.67,4367.36,-7.09,17.6,1,72,11,44,2515.43,6241.02,2047
7,29,-3727.53,-37.28,49,22.45,0.4,43.76,4375.8,-7.31,19.9,1,95,11,38,2479.78,6207.31,2047
11,24,-3743.08,-37.43,46,21.74,0.39,43.89,4389.07,-7.7,21.4,1,94,10,36,2345.85,6088.93,2047
8,35,-3747.19,-37.47,44,20.45,0.37,43.95,4394.76,-7.88,21.8,1,99,9,35,2236.33,5983.52,2047
11,26,-3762.38,-37.62,40,25.0,0.37,44.04,4403.72,-7.75,24.7,1,97,10,30,2255.99,6018.37,2047
