fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
7,20,754.41,7.54,43,30.23,1.26,10.36,1035.92,1.29,24.8,1,115,13,30,3605.81,2851.4,2004
10,34,637.35,6.37,33,30.3,1.24,10.68,1068.07,1.31,30.9,1,161,10,23,3296.15,2658.79,2056
10,35,628.11,6.28,31,32.26,1.24,10.87,1086.68,1.34,32.8,1,162,10,21,3197.57,2569.46,2057
9,35,547.16,5.47,34,29.41,1.19,10.47,1046.67,1.11,30.1,1,161,10,24,3412.14,2864.97,2056
11,27,533.35,5.33,33,30.3,1.18,11.07,1106.83,1.1,31.3,1,161,10,23,3422.19,2888.83,2055
15,33,527.69,5.28,25,40.0,1.19,9.96,1009.92,1.25,40.3,2,162,10,15,3249.87,2722.18,1458
10,33,489.22,4.89,34,29.41,1.17,10.94,1094.4,1.02,30.2,1,161,10,24,3395.07,2905.85,2056
11,26,468.69,4.69,34,29.41,1.16,11.79,1181.17,0.98,30.6,1,161,10,24,3418.11,2949.42,1899
10,28,450.83,4.51,35,28.57,1.15,11.45,1147.18,0.94,29.6,1,161,10,25,3407.26,2956.43,1899
9,33,430.61,4.31,36,27.78,1.14,10.98,1098.44,0.89,28.5,1,161,10,26,3417.73,2987.12,2056
6,20,427.38,4.27,50,26.0,1.14,12.31,1231.16,0.78,21.3,1,110,13,37,3482.18,3054.8,2004
15,34,424.63,4.25,26,38.46,1.15,9.96,1005.06,1.04,38.8,2,162,10,16,3198.42,2773.79,1458
15,35,423.02,4.23,26,38.46,1.16,9.44,946.31,1.04,38.7,1,163,10,16,3128.97,2705.95,1458
9,34,416.19,4.16,36,27.78,1.14,10.56,1055.56,0.87,28.5,1,161,10,26,3420.67,3004.48,2056
9,31,411.52,4.12,34,29.41,1.14,11.23,1123.03,0.88,30.3,1,161,10,24,3435.92,3024.4,2055
15,31,406.58,4.07,26,38.46,1.14,9.93,995.32,1.0,39.0,2,162,10,16,3264.83,2858.25,1458
5,22,402.68,4.03,52,23.08,1.13,13.11,1310.91,0.73,20.5,1,111,12,40,3557.25,3154.56,2004
5,23,402.76,4.03,54,22.22,1.12,11.85,1185.27,0.71,19.6,1,110,12,42,3633.51,3230.75,2004
14,35,402.91,4.03,27,37.04,1.15,9.73,976.91,0.99,37.3,1,162,10,17,3169.83,2766.91,1458
6,21,402.33,4.02,49,24.49,1.13,11.83,1183.1,0.75,21.7,1,110,12,37,3475.75,3073.43,2004
10,31,386.93,3.87,35,28.57,1.13,11.15,1115.46,0.83,29.4,1,161,10,25,3434.62,3047.69,2055
10,26,384.26,3.84,36,27.78,1.13,12.54,1256.41,0.82,28.9,1,160,10,26,3435.56,3051.29,1898
13,35,382.23,3.82,27,37.04,1.14,10.27,1026.56,0.95,37.3,2,162,10,17,3210.55,2828.33,2058
8,21,379.57,3.8,40,27.5,1.14,13.2,1320.21,0.79,26.5,2,114,11,29,3185.68,2806.11,2004
10,30,379.79,3.8,34,29.41,1.13,11.29,1129.28,0.83,30.4,1,161,10,24,3413.13,3033.35,2055
7,21,376.37,3.76,43,27.91,1.13,12.83,1283.07,0.76,24.7,1,114,12,31,3173.27,2796.9,2004
6,22,367.62,3.68,47,25.53,1.12,11.54,1154.13,0.71,22.6,1,110,12,35,3535.42,3167.8,2004
9,29,360.6,3.61,36,27.78,1.12,11.79,1181.34,0.78,28.8,1,160,10,26,3385.6,3025.0,1898
11,22,351.44,3.51,37,27.03,1.11,11.4,1143.26,0.74,28.4,1,165,10,27,3503.81,3152.37,1899
14,34,341.73,3.42,27,37.04,1.12,10.3,1030.45,0.87,37.3,2,162,10,17,3181.76,2840.03,2058
14,33,336.88,3.37,27,37.04,1.12,10.66,1065.75,0.86,37.4,2,162,10,17,3197.58,2860.7,2058
10,27,326.87,3.27,36,27.78,1.11,13.02,1305.08,0.73,28.9,1,160,10,26,3350.99,3024.13,1898
12,21,314.53,3.15,37,27.03,1.1,11.72,1174.95,0.69,28.4,1,165,10,27,3491.33,3176.8,1899
5,29,313.18,3.13,45,24.44,1.11,12.55,1254.86,0.64,23.1,1,159,11,34,3288.85,2975.66,2062
12,24,300.7,3.01,35,28.57,1.1,13.21,1323.99,0.7,29.9,1,161,10,25,3366.81,3066.11,1899
10,29,295.45,2.95,34,29.41,1.1,11.78,1178.24,0.7,30.3,1,161,10,24,3347.33,3051.88,2055
5,34,292.77,2.93,44,22.73,1.1,11.7,1170.61,0.62,23.6,1,160,10,34,3280.25,2987.48,1899
10,24,292.11,2.92,37,27.03,1.09,11.5,1153.0,0.66,28.4,1,160,10,27,3385.32,3093.21,1899
8,32,288.83,2.89,38,26.32,1.09,11.9,1192.46,0.65,27.1,1,160,10,28,3382.21,3093.38,1898
