fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
6,23,-237.05,-2.37,51,29.41,0.92,12.22,1222.34,-2.49,18.1,1,68,15,36,2729.17,2966.22,2005
8,22,-355.36,-3.55,49,30.61,0.88,14.03,1403.33,-2.73,19.1,1,68,15,34,2723.3,3078.66,2003
7,24,-388.77,-3.89,52,28.85,0.87,13.63,1363.46,-2.83,17.8,1,68,15,37,2689.93,3078.7,2004
7,23,-407.55,-4.08,50,30.0,0.87,12.94,1293.61,-2.93,18.6,1,68,15,35,2664.13,3071.68,2004
9,20,-413.13,-4.13,47,31.91,0.86,14.23,1423.26,-2.96,20.0,1,68,15,32,2616.52,3029.65,2072
7,22,-417.51,-4.18,52,28.85,0.87,13.63,1362.95,-2.81,17.9,1,67,15,37,2699.34,3116.85,2005
6,24,-443.46,-4.43,53,28.3,0.86,14.21,1421.24,-2.89,17.4,1,68,15,38,2641.89,3085.35,2005
8,21,-500.11,-5.0,49,30.61,0.84,14.81,1481.38,-3.14,19.2,1,68,15,34,2596.77,3096.88,2072
5,22,-514.41,-5.14,61,27.87,0.84,13.46,1346.05,-2.89,15.2,1,68,17,44,2773.61,3288.02,2006
6,22,-538.43,-5.38,54,29.63,0.83,14.01,1400.69,-3.18,17.2,1,68,16,38,2571.55,3109.98,2005
8,20,-539.77,-5.4,50,30.0,0.83,14.81,1481.01,-3.09,18.8,1,67,15,35,2650.81,3190.58,2072
7,20,-546.59,-5.47,53,30.19,0.82,14.7,1470.43,-3.27,17.6,1,67,16,37,2548.94,3095.53,2072
5,24,-552.11,-5.52,60,28.33,0.83,13.8,1380.44,-3.04,15.4,1,68,17,43,2660.97,3213.08,2005
5,20,-578.23,-5.78,62,27.42,0.83,14.55,1454.81,-3.01,14.7,1,68,17,45,2775.18,3353.41,2007
5,21,-587.43,-5.87,60,28.33,0.82,14.63,1463.15,-3.05,15.4,1,68,17,43,2746.04,3333.47,2006
7,26,-592.32,-5.92,50,28.0,0.81,15.94,1594.27,-3.45,18.5,1,68,14,36,2455.8,3048.13,1996
8,23,-596.64,-5.97,50,28.0,0.81,15.79,1579.18,-3.3,18.8,1,68,14,36,2556.24,3152.88,2072
7,21,-598.02,-5.98,52,30.77,0.81,14.61,1460.84,-3.33,17.9,1,67,16,36,2582.22,3180.25,2005
5,25,-607.99,-6.08,62,25.81,0.81,14.84,1483.72,-3.1,14.8,1,68,16,46,2596.98,3204.97,2005
6,27,-627.5,-6.28,54,29.63,0.81,15.64,1564.21,-3.27,17.2,1,69,16,38,2603.1,3230.6,2005
7,25,-636.64,-6.37,53,28.3,0.8,16.27,1627.28,-3.44,17.5,1,68,15,38,2494.65,3131.29,2003
5,23,-653.32,-6.53,61,27.87,0.8,14.73,1472.78,-3.23,15.1,1,68,17,44,2652.68,3306.0,2006
8,24,-664.65,-6.65,50,26.0,0.79,16.25,1624.96,-3.54,18.7,1,68,13,37,2436.64,3101.29,1996
9,22,-665.23,-6.65,47,25.53,0.78,16.82,1681.75,-3.65,20.0,1,68,12,35,2344.75,3009.98,2072
6,28,-680.37,-6.8,54,27.78,0.79,15.98,1598.13,-3.4,17.2,1,85,15,39,2543.94,3224.3,2004
10,20,-698.31,-6.98,44,25.0,0.77,16.74,1674.07,-3.84,21.4,1,68,11,33,2349.0,3047.31,2072
6,25,-721.17,-7.21,57,26.32,0.78,15.67,1566.78,-3.46,16.2,1,69,15,42,2579.85,3301.02,2005
6,20,-731.81,-7.32,57,28.07,0.78,15.44,1544.38,-3.45,16.2,1,68,16,41,2661.74,3393.55,2006
6,26,-731.9,-7.32,57,24.56,0.78,16.69,1668.85,-3.48,16.2,1,69,14,43,2573.18,3305.08,2005
5,26,-748.32,-7.48,61,26.23,0.78,15.91,1591.45,-3.41,15.0,1,68,16,45,2596.86,3345.18,2005
5,34,-774.78,-7.75,52,28.85,0.74,16.02,1602.21,-4.32,17.7,1,88,15,37,2223.89,2998.67,2005
9,21,-802.32,-8.02,48,27.08,0.75,17.24,1723.84,-3.89,19.5,1,68,13,35,2392.83,3195.14,2072
6,21,-819.68,-8.2,57,28.07,0.76,16.25,1624.55,-3.67,16.3,1,68,16,41,2571.66,3391.34,2005
5,33,-841.04,-8.41,53,28.3,0.73,16.66,1665.54,-4.09,17.4,1,88,15,38,2312.64,3153.68,2005
6,33,-852.18,-8.52,47,25.53,0.72,16.54,1654.2,-4.66,19.7,1,88,12,35,2188.38,3040.56,1996
5,27,-860.98,-8.61,61,26.23,0.75,16.94,1693.85,-3.63,15.0,1,69,16,45,2578.95,3439.93,2005
5,32,-865.88,-8.66,55,27.27,0.73,17.05,1704.84,-4.05,16.8,1,85,15,40,2344.08,3209.96,2005
6,30,-884.74,-8.85,53,26.42,0.72,17.22,1721.96,-4.23,17.6,1,88,14,39,2247.63,3132.37,1996
10,21,-898.02,-8.98,46,23.91,0.71,18.2,1820.21,-4.2,20.4,1,68,11,35,2198.04,3096.06,2072
5,29,-900.7,-9.01,59,25.42,0.74,18.12,1811.58,-3.77,15.6,1,69,15,44,2531.51,3432.21,2005
6,34,-900.89,-9.01,47,25.53,0.7,16.99,1698.64,-4.91,19.6,1,88,12,35,2062.73,2963.62,1996
7,28,-923.84,-9.24,49,24.49,0.7,17.57,1757.47,-4.59,19.1,1,88,12,37,2148.74,3072.59,1996
6,29,-926.5,-9.26,57,26.32,0.72,17.6,1759.88,-4.14,16.3,1,85,15,42,2343.58,3270.07,2004
6,35,-962.38,-9.62,45,24.44,0.68,17.55,1754.74,-5.19,20.5,1,88,11,34,2034.9,2997.29,1996
5,35,-963.57,-9.64,52,25.0,0.69,17.56,1755.82,-4.84,17.6,1,88,13,39,2115.21,3078.78,2005
10,22,-970.22,-9.7,46,23.91,0.7,19.23,1922.81,-4.32,20.4,1,68,11,35,2210.96,3181.18,2072
