fast_ema,slow_ema,net_profit,net_profit_pct,total_trades,win_rate,profit_factor,max_drawdown_pct,max_drawdown_dollars,sharpe_ratio,avg_holding_bars,min_holding_bars,max_holding_bars,winning_trades,losing_trades,gross_profit,gross_loss,max_drawdown_duration_bars
15,29,368.7,3.69,26,38.46,1.23,7.69,799.72,-1.68,33.0,1,139,10,16,1990.31,1621.61,859
15,30,338.09,3.38,25,36.0,1.2,8.1,843.68,-1.69,34.4,2,139,9,16,2002.78,1664.69,859
15,32,326.82,3.27,25,36.0,1.2,8.44,881.44,-1.72,34.2,2,139,9,16,1982.25,1655.43,1019
15,31,317.46,3.17,25,36.0,1.19,8.35,870.7,-1.78,34.2,2,139,9,16,1979.55,1662.09,859
15,28,220.46,2.2,27,37.04,1.13,9.15,954.07,-2.24,31.8,1,139,10,17,1970.24,1749.78,859
15,33,217.53,2.18,25,40.0,1.12,8.51,880.13,-2.07,34.3,1,139,10,15,1970.19,1752.67,1019
14,32,159.35,1.59,25,32.0,1.09,8.1,829.09,-2.46,34.3,2,139,8,17,1868.21,1708.86,859
15,35,143.41,1.43,24,37.5,1.09,8.23,843.24,-2.65,35.8,2,139,9,15,1753.57,1610.16,1021
13,34,109.18,1.09,25,32.0,1.06,8.29,846.01,-2.66,34.2,2,139,8,17,1838.64,1729.46,1018
15,34,100.91,1.01,25,36.0,1.06,8.5,869.11,-2.66,34.4,1,139,9,16,1809.44,1708.52,1081
14,31,95.52,0.96,26,30.77,1.06,8.24,840.38,-2.85,33.0,1,139,8,18,1801.99,1706.47,859
13,33,86.58,0.87,25,32.0,1.05,7.94,806.31,-2.92,34.2,2,139,8,17,1797.91,1711.32,1017
14,33,81.96,0.82,25,32.0,1.05,8.35,850.83,-2.76,34.2,2,139,8,17,1835.44,1753.48,1018
14,29,47.62,0.48,27,33.33,1.03,8.95,914.4,-3.04,31.9,1,139,9,18,1837.16,1789.54,859
14,34,41.04,0.41,25,32.0,1.02,8.52,866.83,-2.88,34.2,2,139,8,17,1831.27,1790.23,1019
13,31,29.02,0.29,27,33.33,1.02,9.46,970.74,-3.04,31.8,1,139,9,18,1830.26,1801.23,859
12,35,22.13,0.22,25,32.0,1.01,8.39,849.95,-3.25,34.3,2,139,8,17,1737.98,1715.85,1017
15,27,15.86,0.16,27,33.33,1.01,9.3,950.83,-3.15,31.8,1,139,9,18,1835.23,1819.37,859
13,35,11.08,0.11,25,32.0,1.01,8.29,837.8,-3.1,34.3,2,139,8,17,1770.34,1759.26,1018
13,32,-6.19,-0.06,27,29.63,1.0,9.51,973.07,-3.19,31.7,1,139,8,19,1818.13,1824.32,859
15,26,-5.67,-0.06,27,33.33,1.0,9.29,947.82,-3.28,31.6,1,139,9,18,1818.02,1823.68,859
14,30,-15.54,-0.16,27,33.33,0.99,9.51,971.79,-3.21,31.9,1,139,9,18,1816.24,1831.79,859
14,28,-20.56,-0.21,27,33.33,0.99,9.29,947.0,-3.27,31.8,1,139,9,18,1838.16,1858.72,859
12,32,-25.15,-0.25,28,32.14,0.99,9.45,964.74,-3.14,30.5,1,139,9,19,1867.33,1892.47,1017
13,29,-28.38,-0.28,28,32.14,0.98,9.29,946.26,-3.34,30.5,1,139,9,19,1813.57,1841.95,1017
12,33,-33.03,-0.33,27,29.63,0.98,9.56,975.92,-3.28,31.7,1,139,8,19,1813.51,1846.53,1017
12,34,-53.99,-0.54,26,30.77,0.97,9.34,949.73,-3.43,32.9,1,139,8,18,1792.99,1846.98,1017
14,35,-67.03,-0.67,25,32.0,0.96,8.51,855.62,-3.41,34.3,1,139,8,17,1695.07,1762.1,1081
13,30,-81.25,-0.81,27,33.33,0.96,10.02,1023.07,-3.45,31.9,1,139,9,18,1826.14,1907.4,1017
12,31,-151.32,-1.51,29,27.59,0.92,10.79,1102.94,-3.69,29.5,1,139,8,21,1804.88,1956.2,859
13,28,-173.85,-1.74,29,31.03,0.91,11.22,1150.59,-3.81,29.6,1,139,9,20,1800.26,1974.11,859
14,27,-203.76,-2.04,29,31.03,0.9,11.37,1164.6,-3.94,29.4,1,139,9,20,1777.9,1981.65,859
11,35,-255.87,-2.56,30,26.67,0.87,10.36,1043.33,-4.02,28.5,1,139,8,22,1779.15,2035.02,1899
11,34,-298.7,-2.99,30,26.67,0.86,10.77,1085.27,-4.12,28.4,1,139,8,22,1790.91,2089.61,1900
14,26,-303.19,-3.03,29,31.03,0.85,11.22,1134.88,-4.21,29.6,1,139,9,20,1779.9,2083.09,1203
11,33,-327.15,-3.27,30,26.67,0.84,11.04,1111.62,-4.31,28.4,1,139,8,22,1758.98,2086.13,1900
12,30,-335.68,-3.36,30,26.67,0.84,12.58,1288.15,-4.3,28.6,1,139,8,22,1784.68,2120.35,859
10,35,-365.82,-3.66,31,25.81,0.83,11.39,1147.45,-4.44,27.6,1,139,8,23,1736.14,2101.96,1900
13,27,-385.12,-3.85,31,29.03,0.82,11.73,1184.19,-4.42,27.6,1,139,9,22,1748.64,2133.76,1900
14,25,-444.32,-4.44,31,25.81,0.8,12.28,1239.02,-4.73,27.7,1,139,8,23,1729.78,2174.09,1900
15,25,-448.44,-4.48,30,30.0,0.8,12.37,1249.28,-4.71,28.6,1,139,9,21,1766.02,2214.46,1203
11,31,-458.15,-4.58,31,25.81,0.79,12.41,1251.83,-4.62,27.8,1,139,8,23,1763.31,2221.46,1900
15,24,-457.81,-4.58,31,25.81,0.79,12.4,1251.52,-4.74,27.7,1,139,8,23,1730.36,2188.17,1900
15,22,-486.9,-4.87,31,25.81,0.79,12.68,1279.18,-4.38,27.7,1,139,8,23,1838.59,2325.48,1900
11,32,-494.17,-4.94,31,25.81,0.78,12.57,1266.35,-4.83,27.6,1,139,8,23,1746.59,2240.76,1900
12,29,-532.02,-5.32,31,25.81,0.77,13.08,1320.27,-4.85,27.7,1,139,8,23,1754.99,2287.01,1900
15,23,-532.17,-5.32,30,23.33,0.76,13.09,1321.11,-5.06,28.6,1,139,7,23,1698.57,2230.74,1900
10,34,-567.2,-5.67,32,25.0,0.75,13.24,1334.0,-5.1,26.9,1,139,8,24,1690.2,2257.39,1900
14,23,-589.26,-5.89,32,25.0,0.76,13.61,1374.01,-4.69,26.8,2,139,8,24,1831.22,2420.48,1900
12,25,-605.21,-6.05,34,23.53,0.75,13.65,1375.95,-4.5,25.3,1,139,8,26,1848.18,2453.38,1901
14,24,-607.2,-6.07,32,21.88,0.74,13.78,1390.63,-5.33,26.8,2,139,7,25,1690.28,2297.49,1900
13,25,-609.06,-6.09,32,21.88,0.74,13.8,1392.35,-5.35,26.8,2,139,7,25,1692.69,2301.75,1900
12,26,-638.15,-6.38,33,21.21,0.74,14.06,1419.29,-4.84,26.0,1,139,7,26,1789.17,2427.31,1900
10,33,-721.96,-7.22,33,24.24,0.7,14.83,1496.23,-5.56,26.2,2,139,8,25,1694.46,2416.42,1900
9,35,-729.04,-7.29,33,24.24,0.7,14.93,1507.27,-5.61,25.9,2,139,8,25,1696.01,2425.05,1900
13,24,-735.88,-7.36,34,23.53,0.71,14.85,1497.0,-5.06,25.4,1,139,8,26,1794.75,2530.63,1900
15,21,-752.66,-7.53,33,24.24,0.71,15.01,1512.55,-5.16,26.2,2,139,8,25,1799.33,2551.99,1900
12,28,-758.01,-7.58,34,23.53,0.69,15.16,1530.33,-5.58,25.4,1,139,8,26,1707.32,2465.33,1900
13,23,-764.09,-7.64,35,25.71,0.7,15.11,1523.13,-5.26,24.6,1,139,9,26,1774.37,2538.46,1901
13,26,-790.35,-7.9,35,22.86,0.68,15.46,1560.29,-5.62,24.5,1,139,8,27,1700.79,2491.14,1900
11,30,-833.51,-8.34,35,22.86,0.67,15.86,1600.28,-5.74,24.7,1,139,8,27,1698.31,2531.82,1900
14,22,-874.53,-8.75,35,25.71,0.66,16.13,1625.45,-5.71,24.7,1,139,9,26,1722.97,2597.5,1900
12,27,-909.16,-9.09,36,19.44,0.65,16.55,1670.35,-6.09,23.9,1,139,7,29,1659.25,2568.41,1900
