symbol,timeframe,best_fast_ema,best_slow_ema,in_sample_profit_pct,in_sample_win_rate_pct,in_sample_profit_factor,in_sample_max_dd_pct,in_sample_avg_hold_bars,unseen_profit_pct,unseen_win_rate_pct,unseen_profit_factor,unseen_max_dd_pct,total_candles
BIOUSDT,1h,6,30,137.08,28.95,1.94,30.67,23.8,-21.27,13.04,0.36,29.09,3000
SILVER,1h,15,20,83.31,37.69,1.89,9.18,35.0,16.59,28.33,1.14,25.63,11456
SILVER,4h,10,21,74.2,45.45,2.72,12.98,30.5,0.95,42.11,1.02,20.8,3096
GOLD,4h,15,32,52.43,43.48,5.49,5.75,63.7,-1.35,36.36,0.92,9.88,3096
GOLD,1h,11,29,42.22,37.07,1.72,8.18,40.7,-3.1,28.07,0.93,21.07,11459
PEPEUSDT,4h,8,21,36.32,31.11,1.2,44.39,19.2,-30.49,29.17,0.27,38.27,3000
ETHUSDT,4h,15,33,32.03,30.0,1.34,25.07,33.5,-2.07,20.0,0.93,19.85,3000
NASDAQ,4h,15,35,29.77,71.43,6.23,3.31,73.3,6.32,25.0,1.84,4.04,995
BIOUSDT,4h,5,23,27.99,29.79,1.08,65.89,16.3,-0.03,26.09,1.0,32.82,3000
SP500,4h,14,35,21.04,50.0,5.66,2.4,84.3,0.85,20.0,1.13,3.55,995
NASDAQ,1h,6,20,15.91,33.33,1.35,9.04,25.1,3.72,28.57,1.17,13.47,3478
PEPEUSDT,2h,10,22,15.57,25.0,1.16,30.24,19.5,-12.35,25.0,0.52,13.41,3000
SP500,1h,7,21,10.61,34.48,1.33,8.1,25.9,1.07,25.93,1.08,9.67,3478
XRPUSDT,4h,5,27,9.74,24.0,1.1,28.35,17.0,-17.36,22.73,0.47,23.49,3000
BIOUSDT,2h,5,30,8.39,26.09,1.08,45.85,17.7,-24.46,14.29,0.29,27.03,3000
DOGEUSDT,4h,11,28,8.09,30.3,1.07,30.5,24.1,-25.28,25.0,0.27,25.28,3000
SOLUSDT,30m,7,20,7.54,30.23,1.26,10.36,24.8,-7.42,13.04,0.39,8.65,3000
SOLUSDT,4h,8,32,6.71,27.78,1.06,34.22,27.7,-11.75,29.41,0.61,19.08,3000
SOLUSDT,1h,6,26,5.22,34.88,1.18,9.07,23.7,-1.26,28.57,0.95,8.29,3000
SOLUSDT,15m,15,35,4.07,19.23,1.28,7.16,41.7,-3.69,18.18,0.44,3.69,3000
BTCUSDT,1h,14,34,3.73,36.0,1.22,6.76,43.0,-1.83,33.33,0.7,3.32,3000
XRPUSDT,30m,15,29,3.69,38.46,1.23,7.69,33.0,-5.13,20.0,0.55,7.27,3000
ETHUSDT,15m,6,25,3.44,31.82,1.22,4.82,24.4,1.68,17.39,1.2,3.36,3000
BTCUSDT,5m,15,35,-0.82,25.93,0.87,2.05,37.8,-1.56,23.08,0.54,2.51,3000
BTCUSDT,4h,14,35,-0.9,32.14,0.98,22.95,37.3,-3.82,36.36,0.76,8.06,3000
ETHUSDT,5m,15,35,-2.31,20.59,0.79,5.88,34.0,-3.01,12.5,0.39,4.13,3000
XRPUSDT,1h,6,23,-2.37,29.41,0.92,12.22,18.1,-1.32,28.57,0.9,5.98,3000
XRPUSDT,15m,5,23,-2.44,28.0,0.85,6.57,20.4,-4.7,21.43,0.45,7.02,3000
ETHUSDT,30m,13,35,-2.7,30.77,0.87,11.85,37.1,0.7,30.77,1.08,4.09,3000
ETHUSDT,1h,8,34,-3.09,32.26,0.87,13.74,30.7,5.66,29.41,1.59,5.37,3000
BTCUSDT,15m,15,34,-4.56,28.0,0.62,6.98,42.4,-1.45,27.27,0.73,2.05,3000
SOLUSDT,5m,15,31,-4.61,23.33,0.54,5.67,34.5,-1.91,25.0,0.36,2.23,3000
DOGEUSDT,1h,9,21,-4.86,34.09,0.85,15.08,24.8,-12.87,8.7,0.32,12.87,3000
BIOUSDT,5m,9,23,-6.59,24.44,0.59,10.07,19.8,-2.91,26.09,0.68,3.53,3000
BTCUSDT,2h,14,21,-6.92,29.41,0.76,17.52,30.6,-6.23,28.57,0.59,10.95,3000
DOGEUSDT,15m,9,26,-7.67,26.32,0.58,7.97,24.3,-9.12,10.0,0.15,9.12,3000
PEPEUSDT,15m,15,34,-8.4,14.29,0.7,14.31,33.0,-7.23,26.67,0.41,9.11,3000
XRPUSDT,5m,15,35,-9.1,12.2,0.33,9.18,25.6,1.17,33.33,1.5,1.57,3000
DOGEUSDT,5m,15,34,-10.45,5.41,0.22,10.22,26.3,-1.39,18.18,0.53,2.4,3000
BTCUSDT,30m,8,34,-10.99,26.32,0.46,16.28,25.0,0.46,26.67,1.06,3.04,3000
BIOUSDT,15m,15,25,-11.16,20.59,0.6,12.69,26.6,-4.47,26.67,0.5,6.9,3000
ETHUSDT,2h,6,27,-12.82,41.46,0.75,25.13,24.6,-9.78,23.81,0.55,18.41,3000
DOGEUSDT,2h,13,35,-13.05,24.0,0.75,26.11,34.3,-9.58,27.27,0.23,9.89,3000
PEPEUSDT,5m,14,35,-14.4,15.91,0.36,17.95,22.0,-7.29,5.88,0.11,8.15,3000
DOGEUSDT,30m,15,33,-15.01,16.13,0.38,19.58,27.5,-8.41,13.33,0.22,8.41,3000
PEPEUSDT,1h,12,35,-20.52,25.71,0.45,26.76,28.3,-5.66,15.0,0.74,11.82,3000
BIOUSDT,30m,6,22,-26.19,29.09,0.6,28.36,16.8,-12.53,12.5,0.3,14.04,3000
XRPUSDT,2h,15,21,-26.74,20.0,0.57,37.02,21.4,-12.35,25.0,0.44,15.61,3000
PEPEUSDT,30m,7,35,-27.97,12.5,0.29,36.5,18.9,-6.75,22.22,0.55,8.73,3000
SOLUSDT,2h,8,32,-31.42,21.95,0.43,38.47,23.6,4.74,30.77,1.26,10.59,3000
